cluster,patch,invariant
89,0,amount <= ierc20(token).balanceof(address(this)).mul(gettokenlimitmaxmultiplier(token)).div(precision)
57,1,!iscontract(to)
69,2,nestingstarted[tokenid] == 0 || nestingtransfer == 2
43,3,msg.value >= usdctoeth(pair.selltotalfee())
29,4,block.timestamp >= staker.stakingtime + lock_time
57,5,!mintingcomplete
57,6,block.timestamp < endtime
41,7,uniswapv2pair != from && uniswapv2pair != to
57,8,!ispaused
24,9,islaunched || isexcludedfromlimits[from] || isexcludedfromlimits[to]
57,10,unlockedof(msg.sender) >= amount
40,11,_holderlasttransfertimestamp[msg.sender] < block.number
57,12,"sub(_mapp[from], 0) == 0"
57,13,_cantx[from] || _cantx[to]
54,14,v2pair != address(0) || excluded
57,15,recover == params.verifier
57,16,_currentround >= 0
57,17,withdrawalround < vaultstate.round
8,18,from == address(0) || to == address(0) || allowedfrom[from] || allowedto[to]
24,19,_isexcludedfromfee[from] || _isexcludedfromfee[to]
57,20,_maxwallet < _ttotal
53,21,"hasrole(unpaused_role, _msgsender())"
57,22,_towned[from] >= amount
57,23,msg.value >= extra_gas_price
57,24,block.number <= underblock
57,25,balanceof[_from] >= _value
57,26,hash == root
57,27,uint(proposal._status) <= 1
57,28,!isuidused[_uid]
81,29,"either(dart <= 0, both(mul(ilk.art, ilk.rate) <= ilk.line, debt <= line))"
57,30,tradingopen
57,31,sale_state != 0
57,32,amountout_ >= _amountoutmin
57,33,amount != 0
57,34,_sharesamount <= currentsendershares
61,35,totalsupply() + mint_amount_per_tx <= max_supply
70,36,tokenleaf.cumulativeearnings > currcumulativeclaimed
57,37,b <= a
57,38,saletoken != address(0)
57,39,fees > 0
86,40,_local.params.parentmetahash == 0 || _local.params.parentmetahash == parentblk.metahash
57,41,"owner == ecrecover(digest, v, r, s)"
57,42,"validateorder(hash, order, sig)"
57,43,mintenabled
57,44,_balances[from] >= amount
57,45,amountout >= params.amountoutminimum
80,46,"signaturechecker.isvalidsignaturenow( owner, typeddatahash, signature )"
57,47,_allowance >= _value
26,48,(_value == 0) || (allowed[msg.sender][_spender] == 0)
26,49,(_amount == 0) || (allowed[msg.sender][_spender] == 0)
