x,y,cluster
9.921136,-1.354608,16.000000
7.945794,-0.647237,18.000000
10.872955,3.506606,4.000000
9.865239,-1.497851,16.000000
7.555345,5.326446,7.000000
9.766055,-1.384185,16.000000
7.860890,-0.576071,18.000000
11.054379,4.427968,5.000000
9.734389,-1.223641,16.000000
10.965091,3.452983,4.000000
9.660761,-1.199359,16.000000
8.133129,-0.733670,18.000000
9.863064,-1.430738,16.000000
8.108760,-0.720445,18.000000
8.931723,3.657354,9.000000
8.211464,-0.716785,18.000000
8.174274,-0.754331,18.000000
6.784586,-0.520399,13.000000
8.221685,4.165839,8.000000
6.751616,-0.524843,13.000000
6.866371,2.017516,19.000000
9.375189,3.645866,9.000000
12.189924,6.365454,0.000000
7.877780,0.272753,12.000000
0.697798,1.491114,1.000000
10.645626,3.567083,4.000000
8.248848,-0.777111,18.000000
10.546248,3.174560,15.000000
6.730743,3.026953,20.000000
12.210155,6.385246,0.000000
10.931512,3.474907,4.000000
7.534857,5.395973,7.000000
9.778364,-1.241107,16.000000
9.880055,-1.555678,16.000000
9.838511,-1.500857,16.000000
11.008204,3.506428,4.000000
6.863722,-0.457462,13.000000
6.833674,-0.524478,13.000000
11.220286,4.887140,5.000000
8.583610,5.376288,6.000000
9.840064,-1.349678,16.000000
8.097292,-0.697786,18.000000
10.794669,3.302074,4.000000
7.162224,0.063982,-1.000000
9.717830,4.664533,11.000000
8.009632,-0.707613,18.000000
-0.478752,1.908631,2.000000
9.484818,-1.018438,-1.000000
9.958105,-1.529569,16.000000
11.013373,2.226626,3.000000
6.716977,-0.567520,13.000000
7.220634,2.760604,-1.000000
8.493313,3.994509,8.000000
10.425866,2.235737,15.000000
-0.530412,1.958095,2.000000
7.052658,2.502123,20.000000
9.393264,-0.237517,16.000000
8.326678,5.322948,6.000000
7.287294,-0.169535,14.000000
10.905259,2.381966,3.000000
-0.419587,1.937593,2.000000
7.936772,-0.491900,18.000000
6.869181,2.008445,19.000000
9.068773,-0.560681,-1.000000
7.506822,5.345089,7.000000
8.559236,5.433982,6.000000
6.848495,2.707785,-1.000000
8.266188,-0.639317,18.000000
-0.499787,1.981866,2.000000
8.682175,3.979228,8.000000
9.653069,4.684064,11.000000
0.668035,1.506686,1.000000
9.260186,3.893926,9.000000
12.170574,6.338408,0.000000
7.517461,5.357189,7.000000
6.877756,-0.493801,13.000000
9.829998,-1.415431,16.000000
9.776377,-1.457954,16.000000
12.113190,6.301756,0.000000
8.191388,4.193316,8.000000
8.634563,3.578350,9.000000
6.980137,2.168361,19.000000
7.971745,-0.621476,18.000000
9.796183,-1.326931,16.000000
12.065086,6.294525,0.000000
10.489046,2.699277,15.000000
6.903532,2.357256,19.000000
9.015652,-0.642011,16.000000
11.010410,3.492345,4.000000
9.037810,3.654628,9.000000
9.401849,4.636707,10.000000
9.878407,1.277426,15.000000
6.902326,2.152372,19.000000
9.091552,-0.331571,-1.000000
-0.583107,2.001543,2.000000
10.633446,3.521128,4.000000
7.489380,5.126403,7.000000
6.845227,2.323425,20.000000
8.898685,5.654943,-1.000000
10.447724,2.589469,15.000000
7.252009,-0.198129,14.000000
9.421391,3.624960,-1.000000
9.387778,-0.629497,16.000000
10.428103,2.471878,15.000000
6.914710,2.474966,19.000000
10.818321,3.915766,5.000000
9.697371,-1.107347,16.000000
7.759317,5.366340,7.000000
7.496190,5.269599,7.000000
9.725448,4.648239,11.000000
8.960672,3.659245,9.000000
9.263721,4.387291,10.000000
6.781412,2.773917,20.000000
-0.537460,1.969238,2.000000
7.184311,-0.199465,14.000000
8.029125,3.742167,-1.000000
8.196180,4.166747,8.000000
8.479262,-0.884097,18.000000
9.138474,4.241895,-1.000000
0.675347,1.480597,1.000000
6.787291,2.943006,20.000000
8.494330,3.616288,9.000000
10.951150,2.296533,3.000000
8.401533,4.081528,8.000000
8.189397,4.169514,8.000000
10.516018,2.892453,15.000000
9.631157,4.663022,11.000000
7.440668,0.506409,-1.000000
11.015725,2.230043,3.000000
10.910316,3.361232,4.000000
9.445640,4.312705,-1.000000
11.202768,4.723174,5.000000
7.544651,5.391779,7.000000
0.699084,1.498172,1.000000
-0.551926,1.960622,2.000000
7.197742,0.918561,-1.000000
0.728830,1.594468,1.000000
7.027940,5.409248,-1.000000
9.785730,-1.508189,16.000000
9.681216,4.579158,11.000000
10.703523,3.568766,15.000000
12.232611,6.309002,0.000000
11.020473,3.425025,4.000000
8.527199,-1.069984,17.000000
10.852653,3.563765,4.000000
7.392947,5.067338,7.000000
9.361662,3.773808,9.000000
8.868670,5.631723,-1.000000
0.792935,1.544240,1.000000
7.275252,0.454235,-1.000000
9.874222,-1.215265,16.000000
9.423151,-0.925408,-1.000000
7.155767,1.017334,-1.000000
6.787772,2.219393,-1.000000
10.537688,2.831508,15.000000
-0.326009,1.959912,2.000000
7.046507,3.159561,20.000000
9.466364,4.607030,10.000000
10.457760,2.520764,15.000000
10.134431,1.628333,15.000000
9.194458,4.434649,10.000000
7.445086,5.165587,7.000000
0.556132,1.605233,1.000000
9.275824,4.529600,10.000000
8.200431,4.173529,8.000000
7.527094,5.352118,7.000000
8.711724,-0.202543,16.000000
7.968898,-0.519943,18.000000
10.479178,2.679105,15.000000
7.170643,3.261942,20.000000
9.382947,-0.566407,16.000000
10.489615,2.622180,15.000000
8.058911,0.052039,12.000000
0.809526,1.566861,1.000000
10.856895,3.456021,4.000000
0.653954,1.557727,1.000000
9.900724,-1.514590,16.000000
8.636092,-1.098382,17.000000
6.880215,2.175728,19.000000
12.176954,6.377367,0.000000
7.069338,-0.371416,14.000000
8.085353,-0.708639,18.000000
8.741257,-0.272047,16.000000
9.476312,4.698299,10.000000
-0.180782,1.870001,2.000000
0.853822,1.408157,1.000000
11.173347,4.762743,5.000000
6.894206,-0.484139,13.000000
9.914071,-1.347275,16.000000
9.763862,-1.255499,16.000000
6.995925,2.325711,20.000000
0.634106,1.519730,1.000000
10.962267,2.309359,3.000000
7.161242,3.252012,20.000000
8.928307,5.699419,-1.000000
8.897125,5.657506,-1.000000
8.651979,-0.128439,16.000000
8.585964,3.993166,8.000000
-0.045152,1.906607,2.000000
9.914865,-1.344220,16.000000
-0.507830,1.989748,2.000000
9.615932,-0.914606,16.000000
10.413661,2.246410,15.000000
9.678297,4.601212,11.000000
7.785419,5.292466,7.000000
-0.398041,1.940082,2.000000
0.715763,1.466121,1.000000
8.610687,3.581020,9.000000
0.596727,1.570377,1.000000
6.932841,2.022256,19.000000
9.626738,0.100309,16.000000
12.164580,6.353596,0.000000
6.998803,1.937862,19.000000
8.625035,3.558195,9.000000
10.505777,3.687303,4.000000
9.457943,4.479956,10.000000
8.551503,-0.032772,-1.000000
7.001054,5.405930,-1.000000
0.745573,1.487691,1.000000
7.851459,0.345626,12.000000
8.697791,-0.175616,16.000000
7.226574,2.895644,20.000000
8.154855,4.161597,8.000000
6.789536,-0.507160,13.000000
7.571265,5.376015,7.000000
10.499701,3.279865,15.000000
9.176800,3.834119,9.000000
7.365005,5.091322,7.000000
7.997078,-0.658542,18.000000
12.211608,6.402045,0.000000
8.672190,3.556854,9.000000
8.158735,-0.419434,-1.000000
9.903940,1.306466,15.000000
7.205597,2.554081,-1.000000
7.537687,5.417271,7.000000
8.302896,3.901003,8.000000
8.736214,-0.209510,16.000000
7.774760,5.370583,7.000000
9.419971,-0.493814,16.000000
-0.145695,1.876544,2.000000
9.587508,0.059617,16.000000
9.373791,-0.681164,16.000000
6.735405,2.868972,-1.000000
9.778429,-1.213253,16.000000
10.418439,3.076833,15.000000
9.398406,-0.632106,16.000000
7.012842,1.769797,-1.000000
7.555248,-0.381587,-1.000000
9.228340,3.857104,9.000000
7.784977,5.390584,7.000000
9.288758,-0.251775,16.000000
8.669045,-0.145829,16.000000
10.959511,2.306237,3.000000
6.959883,3.016989,20.000000
9.681636,1.112659,-1.000000
7.376952,2.733727,-1.000000
8.611644,-1.101529,17.000000
10.920261,3.549936,4.000000
7.314609,-0.181766,14.000000
9.560417,-0.707289,16.000000
6.891518,2.939690,20.000000
7.194178,-0.360833,14.000000
9.754130,-1.216661,16.000000
8.004611,0.217612,12.000000
10.381092,2.179833,15.000000
10.991910,2.250829,3.000000
11.191797,4.782851,5.000000
7.254585,-0.259349,14.000000
-0.050906,1.916833,2.000000
9.418357,-0.646540,16.000000
7.909398,-0.620557,18.000000
-0.067799,1.877634,2.000000
9.249496,4.494843,10.000000
11.126424,4.571619,5.000000
10.152483,1.660549,15.000000
11.130590,4.572755,5.000000
8.556924,5.285282,6.000000
7.538702,5.285293,7.000000
6.869520,2.039624,19.000000
6.767330,2.955804,20.000000
7.245667,-0.474041,-1.000000
7.146571,0.042222,-1.000000
6.790506,-0.557162,13.000000
