x,y,cluster
-0.768223,4.246252,90.000000
4.837621,3.231008,35.000000
5.283548,2.287348,12.000000
-0.577483,3.684264,10.000000
4.986962,5.357399,6.000000
-0.607726,3.797458,76.000000
5.056947,4.053466,86.000000
-0.460354,4.989068,13.000000
-0.630370,3.862543,37.000000
5.228757,2.270444,12.000000
-0.657764,3.760207,76.000000
4.760402,2.992836,61.000000
-0.566534,3.624524,10.000000
4.677115,2.973143,7.000000
4.211313,4.954338,94.000000
4.670622,2.962524,7.000000
4.691553,2.972810,7.000000
5.448883,4.554517,25.000000
-0.340927,5.048444,56.000000
5.368799,4.499352,25.000000
4.779622,4.911941,74.000000
-0.054014,4.658422,46.000000
5.767817,6.360885,81.000000
4.779858,4.411375,29.000000
3.854546,4.933780,63.000000
4.922281,4.202965,48.000000
4.761910,3.044193,61.000000
-1.108230,4.329557,33.000000
-0.324285,4.455575,16.000000
5.745008,6.336414,81.000000
5.210215,2.280050,12.000000
4.989289,5.302695,6.000000
-0.911794,4.027297,3.000000
-0.599735,3.828275,37.000000
-0.694174,3.905684,45.000000
5.201642,2.268770,12.000000
5.110145,4.288892,48.000000
5.328520,4.551454,25.000000
4.852111,5.390874,17.000000
4.990100,5.493578,64.000000
-0.604778,3.809763,37.000000
4.756110,3.012157,61.000000
4.461428,4.128607,73.000000
5.225490,3.689978,30.000000
4.267599,5.109910,94.000000
4.924007,3.660222,71.000000
1.646554,4.748724,5.000000
-0.195159,3.921680,67.000000
-0.599722,3.616165,10.000000
-0.579555,4.531069,28.000000
5.240563,4.370707,48.000000
0.005947,5.098568,88.000000
-0.841753,4.210906,80.000000
-0.886640,4.022151,22.000000
1.533608,4.674839,5.000000
-0.256476,4.791147,0.000000
-0.507945,4.338749,59.000000
4.915076,5.399381,64.000000
5.241828,4.396992,14.000000
5.229528,4.102457,2.000000
1.433088,4.723498,5.000000
-0.144984,3.624904,32.000000
4.933716,4.894857,74.000000
4.550309,4.041897,66.000000
4.987256,5.380335,6.000000
5.452520,6.005801,4.000000
4.595606,4.796152,36.000000
4.629279,3.157444,7.000000
1.702572,4.829773,5.000000
-0.262644,4.788780,57.000000
4.905417,5.463299,53.000000
3.840544,4.900476,63.000000
-0.449805,4.145879,69.000000
5.720208,6.309799,81.000000
5.052447,5.308319,6.000000
5.307461,4.482863,25.000000
-0.610187,3.611680,10.000000
-0.474227,3.832677,37.000000
5.796875,6.385395,81.000000
-0.290896,5.082063,56.000000
0.001934,5.033838,84.000000
4.754173,4.525115,91.000000
4.797574,2.981667,61.000000
-0.624627,3.576631,10.000000
5.578109,6.183539,4.000000
-0.848451,3.946329,22.000000
4.676326,4.603570,1.000000
-0.299075,3.717705,37.000000
5.223131,2.252933,12.000000
0.165005,4.858303,44.000000
-0.383800,4.970111,77.000000
4.579732,3.980299,38.000000
4.974723,4.697569,21.000000
4.410113,3.815950,66.000000
1.715652,4.846958,5.000000
4.314465,4.333266,73.000000
4.634677,4.581512,1.000000
4.286205,4.511456,49.000000
6.086226,6.315254,9.000000
-0.913022,4.066033,22.000000
5.264874,4.427661,14.000000
-0.002162,4.726214,46.000000
-0.360547,3.860543,37.000000
-1.065490,4.001236,93.000000
4.798627,5.052394,50.000000
-0.474951,4.929743,13.000000
-0.815201,4.037428,3.000000
4.971706,5.456664,6.000000
4.793612,5.042949,50.000000
4.305694,5.192208,72.000000
4.059088,4.420146,83.000000
-0.498523,4.862137,77.000000
4.493171,4.518605,1.000000
1.712888,4.811729,5.000000
5.324401,4.262764,86.000000
-0.200085,4.885497,62.000000
-0.221623,5.122072,56.000000
4.689228,3.300038,61.000000
-0.448988,4.983740,13.000000
3.778596,4.826656,63.000000
-0.162756,4.488701,16.000000
-0.050627,5.063706,18.000000
-0.591196,4.395612,43.000000
-0.492694,4.935747,56.000000
-0.218470,5.128206,56.000000
-0.911998,4.244990,80.000000
4.997580,4.911397,21.000000
4.569745,4.100755,66.000000
-0.593905,4.438085,43.000000
5.266677,3.586275,30.000000
-0.326702,4.935583,0.000000
-0.507648,5.076230,13.000000
4.971560,5.344201,6.000000
3.971350,4.965750,63.000000
1.612145,4.755104,5.000000
4.742472,4.338144,29.000000
4.513025,4.763324,36.000000
5.178861,4.104672,8.000000
-0.532953,3.693626,76.000000
4.329362,5.081059,72.000000
-0.466585,4.787414,62.000000
-0.473571,4.995479,13.000000
4.969648,2.770357,87.000000
5.267512,3.821470,30.000000
4.689880,4.701808,1.000000
4.610070,4.608479,1.000000
4.280665,4.082717,20.000000
6.087927,6.316854,9.000000
5.179714,4.342559,8.000000
5.261392,4.220963,34.000000
-0.732659,4.461189,75.000000
-0.290146,3.914122,67.000000
5.198937,4.310928,34.000000
4.333522,4.528281,49.000000
-1.077421,4.017194,93.000000
1.699700,4.821369,5.000000
-0.419801,4.944457,62.000000
-0.354290,4.966496,0.000000
-0.885526,3.994307,22.000000
-1.007640,3.969296,42.000000
-0.353105,4.884858,0.000000
4.661691,4.966445,50.000000
4.013759,4.800041,11.000000
-0.402350,4.916070,77.000000
-0.344692,5.034312,27.000000
4.932567,5.258310,6.000000
-0.491266,3.670352,19.000000
5.216892,3.549958,89.000000
-1.023535,3.992116,93.000000
-0.495343,4.692454,24.000000
-0.589502,3.754108,98.000000
-0.886317,4.075647,22.000000
4.737151,4.357979,29.000000
5.237766,4.381118,34.000000
5.233739,2.277225,12.000000
3.745821,4.788464,97.000000
-0.594809,3.676987,10.000000
5.331105,3.536843,65.000000
4.704259,4.757307,36.000000
5.718398,6.331335,81.000000
5.234255,4.482407,25.000000
4.805493,3.540875,71.000000
-0.605057,3.813896,98.000000
-0.472816,4.929522,79.000000
1.583542,4.687698,54.000000
3.746388,4.802518,97.000000
4.759424,5.181431,17.000000
5.270757,4.526276,25.000000
-0.782094,4.224993,90.000000
-0.744450,3.658012,76.000000
3.983622,4.625288,23.000000
3.771848,4.820092,63.000000
-0.542324,4.559662,28.000000
-0.393686,4.779049,62.000000
6.101574,6.323634,9.000000
6.066429,6.305433,9.000000
-0.462169,3.614073,19.000000
-0.460502,4.701763,24.000000
1.629296,4.668973,54.000000
-0.779017,4.213694,90.000000
1.632385,4.876276,5.000000
-0.764792,4.092658,95.000000
-1.091857,3.980751,93.000000
4.449106,4.771191,15.000000
4.903400,5.345880,6.000000
1.568685,4.801181,5.000000
3.772742,4.836601,63.000000
0.072184,5.025409,18.000000
3.835962,4.766599,11.000000
4.768139,4.768237,74.000000
-0.697526,3.864673,31.000000
5.795362,6.376553,81.000000
4.901020,4.902056,74.000000
0.014373,5.041044,84.000000
4.315732,4.688096,51.000000
4.586980,4.965404,36.000000
5.177467,4.485936,82.000000
5.175043,4.124468,8.000000
3.887538,4.913740,63.000000
4.670341,4.324713,29.000000
-0.418833,3.562751,19.000000
-0.129038,4.654996,26.000000
-0.234239,5.153043,56.000000
5.313735,4.521030,25.000000
4.948770,5.301691,6.000000
-0.497122,4.892741,79.000000
-0.580530,3.947588,95.000000
4.652222,4.810972,1.000000
4.663791,2.950719,7.000000
5.722724,6.315856,81.000000
-0.069639,5.006382,18.000000
4.530431,4.378325,47.000000
4.599056,4.018547,38.000000
4.296540,4.430783,49.000000
4.925990,5.308725,6.000000
-0.115563,5.075829,84.000000
-0.531542,3.685024,19.000000
5.010818,5.444090,6.000000
-0.386958,3.699727,19.000000
1.625318,4.631099,54.000000
-0.753408,3.914432,31.000000
-0.498742,3.766330,98.000000
4.536368,4.535438,1.000000
-0.712189,4.115370,3.000000
-1.031547,4.025764,33.000000
-0.438617,3.867694,98.000000
4.617985,4.384464,96.000000
5.135128,4.253284,48.000000
-0.050643,4.866103,26.000000
5.003692,5.482080,6.000000
-0.356016,3.545497,19.000000
-0.457574,3.606484,19.000000
-0.620939,4.455217,43.000000
-0.431605,4.472262,70.000000
4.781027,4.085876,38.000000
-0.113786,4.914157,26.000000
5.314291,3.498106,65.000000
5.179070,2.276938,12.000000
5.221887,4.389898,14.000000
-0.776594,4.003073,95.000000
-0.191598,4.433969,16.000000
5.088912,4.178746,86.000000
-0.686389,3.817492,76.000000
4.658811,4.310978,29.000000
-1.105943,3.927645,93.000000
-0.685983,4.329232,43.000000
4.805096,5.459714,17.000000
5.162175,4.421792,68.000000
1.323325,4.659143,41.000000
-0.254044,4.032476,37.000000
5.198127,4.304634,86.000000
1.595340,4.655728,54.000000
-0.354271,4.881979,0.000000
-0.486160,5.112227,13.000000
-0.630623,3.849602,45.000000
-0.544610,5.071596,13.000000
-0.380133,5.176512,27.000000
4.878080,5.229201,6.000000
4.948245,4.847261,74.000000
-0.216849,4.463970,16.000000
5.365652,4.547925,25.000000
4.966393,4.009665,2.000000
5.368990,4.421016,25.000000
-0.703340,4.478126,75.000000
4.475879,4.001904,66.000000
3.972741,5.119337,60.000000
-1.102043,4.256529,33.000000
4.517725,4.404229,47.000000
-0.309706,4.793841,62.000000
-0.606678,3.566835,10.000000
4.511184,4.876666,15.000000
-0.826471,3.618783,76.000000
5.171510,4.319799,68.000000
0.431565,4.768174,44.000000
5.393243,4.534775,25.000000
4.293779,4.968025,94.000000
5.114017,4.378031,68.000000
5.165287,4.413010,68.000000
-0.358325,5.040380,77.000000
-0.654310,3.749443,10.000000
4.891618,4.614571,96.000000
-1.105983,4.082337,33.000000
4.375463,4.916203,15.000000
-0.132365,4.921832,79.000000
-1.022044,3.911083,42.000000
-1.063262,3.962175,93.000000
5.378341,3.468046,65.000000
-0.606347,3.712018,10.000000
-0.326159,5.074808,56.000000
0.085785,5.002041,18.000000
5.006900,4.370901,48.000000
