x,y,cluster
9.507035,-0.608417,-1.000000
10.217787,-0.116184,-1.000000
10.237169,3.436249,0.000000
10.065597,-0.684998,1.000000
8.715136,11.455514,-1.000000
10.210073,-0.248924,-1.000000
9.394479,0.507921,-1.000000
10.227959,8.279875,11.000000
9.530578,-0.269573,-1.000000
10.185472,1.215366,-1.000000
10.206959,0.010133,-1.000000
10.050616,-0.554226,1.000000
9.966290,-0.579460,1.000000
10.220338,-0.168679,-1.000000
10.892118,9.792498,15.000000
10.215409,0.022675,-1.000000
10.246151,-0.098247,-1.000000
9.464859,0.048316,18.000000
9.055586,11.432271,7.000000
9.390651,0.090651,18.000000
10.148213,8.153089,-1.000000
9.067804,9.157154,17.000000
10.219295,9.257198,2.000000
9.848885,2.040290,14.000000
-1.600797,4.845310,3.000000
10.252847,3.697747,0.000000
10.233738,0.016960,-1.000000
11.156766,8.230556,-1.000000
8.802511,8.059343,-1.000000
10.244808,9.309538,2.000000
10.196308,1.091512,-1.000000
8.723948,11.468961,-1.000000
9.504725,-0.285092,-1.000000
10.109700,-0.710342,1.000000
10.149003,-0.571158,1.000000
10.013011,6.392821,4.000000
9.456944,-0.034488,18.000000
10.336920,3.703297,0.000000
10.167383,8.448856,11.000000
11.019958,9.208488,-1.000000
9.547207,-0.370835,-1.000000
10.219755,0.021463,-1.000000
9.472609,-0.653744,-1.000000
9.580446,-0.146272,-1.000000
11.035791,9.668845,15.000000
10.194718,-0.344523,1.000000
-1.420684,4.887200,3.000000
10.222386,0.407021,-1.000000
10.111700,-0.500619,1.000000
10.075594,6.745497,4.000000
9.513022,-0.548092,-1.000000
8.956049,8.885387,-1.000000
8.525682,11.207083,5.000000
10.307827,5.475590,-1.000000
-1.519089,4.825497,3.000000
8.761862,7.513686,13.000000
8.713343,7.489730,-1.000000
11.120742,9.491642,-1.000000
10.192721,3.215281,0.000000
10.013726,6.604858,4.000000
-1.478924,4.968942,3.000000
9.785974,0.637559,-1.000000
10.205599,8.053453,-1.000000
10.219629,0.945922,-1.000000
8.557013,11.269114,5.000000
10.936983,9.345448,-1.000000
9.477554,8.072560,6.000000
8.545506,11.122722,5.000000
-1.547961,4.895564,3.000000
9.683711,9.332323,-1.000000
11.027918,8.998522,-1.000000
-1.507857,4.789611,3.000000
9.479663,9.256751,-1.000000
10.224778,9.269053,2.000000
8.511955,11.225509,5.000000
10.356953,3.965951,0.000000
9.736856,-0.186850,-1.000000
10.173800,-0.654454,1.000000
10.238911,9.238583,2.000000
9.130959,11.458563,7.000000
