x,y,cluster
0.938606,8.174244,25.000000
1.140593,8.515692,13.000000
0.810613,7.990916,8.000000
1.213999,8.475178,13.000000
0.951186,6.435476,64.000000
1.581048,8.859933,39.000000
1.890832,8.277328,11.000000
0.247074,5.432990,16.000000
1.061671,8.602999,41.000000
1.001494,8.558949,69.000000
1.501073,8.819662,39.000000
1.094838,8.433665,13.000000
1.097387,8.425571,13.000000
1.584361,8.856947,39.000000
1.004432,6.354161,0.000000
1.519600,8.825836,39.000000
1.565253,8.853202,39.000000
1.145076,8.357392,61.000000
0.812701,6.895158,57.000000
1.059635,8.320083,61.000000
0.510114,5.862125,31.000000
1.122043,7.050736,47.000000
-0.321523,4.385436,48.000000
1.681452,8.333971,17.000000
4.073249,7.649114,35.000000
0.801371,8.008634,8.000000
1.045106,8.559288,69.000000
0.068028,5.432920,5.000000
1.286352,7.820145,20.000000
-0.319328,4.389033,48.000000
1.051783,8.453396,43.000000
0.916255,6.408926,64.000000
1.215429,8.363637,61.000000
1.595665,8.793976,39.000000
1.410637,8.442352,7.000000
0.909420,7.872343,21.000000
1.102221,8.418245,49.000000
0.621961,7.699198,71.000000
0.233765,5.424597,16.000000
0.099267,5.326784,5.000000
0.977003,8.711028,41.000000
1.028306,8.523717,69.000000
0.952333,8.192638,25.000000
1.058504,8.597242,41.000000
0.729487,6.075406,52.000000
1.351114,8.476613,7.000000
3.845794,7.538993,70.000000
0.829757,8.780621,56.000000
1.090049,8.452541,13.000000
1.068995,7.273915,6.000000
1.859841,8.186336,11.000000
1.035894,6.716136,63.000000
1.106376,8.346311,61.000000
0.776496,7.749899,50.000000
3.759228,7.549505,70.000000
1.264552,6.748908,79.000000
1.330971,8.103755,28.000000
0.766883,6.064531,52.000000
0.751382,7.809958,71.000000
1.021350,7.633818,37.000000
3.725717,7.539589,70.000000
1.220596,7.870256,86.000000
0.378959,5.644711,31.000000
1.194155,8.554693,76.000000
1.030433,6.460801,10.000000
0.708028,6.342050,18.000000
1.131273,7.208479,24.000000
0.946553,6.889587,57.000000
4.008126,7.585783,35.000000
0.934395,6.392822,75.000000
-0.009598,5.039796,87.000000
3.856227,7.545394,70.000000
1.122099,8.168304,58.000000
-0.303072,4.384390,48.000000
1.067543,6.434154,10.000000
0.618044,7.742315,71.000000
1.023558,8.435765,69.000000
1.532630,8.637864,4.000000
-0.335457,4.401962,48.000000
0.605231,6.929529,19.000000
0.967012,6.538125,9.000000
1.113945,7.071929,53.000000
1.029755,8.389589,69.000000
1.114072,8.544050,69.000000
-0.165007,4.686922,14.000000
0.925066,7.954685,77.000000
0.996600,7.118702,62.000000
1.257933,8.778470,46.000000
0.965931,7.831654,21.000000
1.417802,6.830397,30.000000
0.693120,6.014189,42.000000
0.622372,7.886459,65.000000
