x,y,cluster
-0.833960,-12.375381,-1.000000
0.250768,-13.491370,0.000000
0.220358,-13.067758,1.000000
0.233577,-13.535172,0.000000
-0.890936,-12.271761,2.000000
2.656049,-9.565959,-1.000000
5.105478,7.997539,-1.000000
1.939055,-11.309872,3.000000
2.758868,-10.633408,-1.000000
0.161111,-13.171170,1.000000
2.649718,-9.599929,-1.000000
0.191869,-13.504291,0.000000
0.256394,-13.435323,0.000000
2.668041,-9.583464,-1.000000
2.622515,-11.416857,-1.000000
2.663767,-9.542657,-1.000000
2.646256,-9.572508,-1.000000
2.984156,-10.859737,9.000000
-0.445296,-12.492087,-1.000000
2.795519,-11.022804,-1.000000
2.817794,-11.334986,4.000000
0.185140,-13.026595,1.000000
2.886776,-11.017199,6.000000
2.273069,-10.255281,13.000000
6.420320,-12.675215,-1.000000
2.123858,-10.863286,-1.000000
0.235231,-13.271090,0.000000
2.143922,-10.843011,-1.000000
1.401785,-12.396173,5.000000
3.090351,-11.031715,6.000000
0.019045,-13.066406,-1.000000
-0.314116,-11.966067,-1.000000
2.934547,-10.831696,9.000000
2.660199,-9.557578,-1.000000
-0.486779,-12.054888,-1.000000
-0.797243,-12.259397,2.000000
2.620135,-10.919769,-1.000000
2.963383,-11.047460,-1.000000
-0.575149,-12.225469,-1.000000
3.048033,-11.034949,6.000000
2.760629,-10.591594,-1.000000
0.058224,-12.935754,-1.000000
-0.829906,-12.369817,-1.000000
2.776683,-10.575143,-1.000000
2.888037,-11.314555,4.000000
-0.560093,-12.134767,-1.000000
6.673051,-12.782489,7.000000
3.994031,-11.123610,-1.000000
0.174210,-13.483883,0.000000
-0.423446,-12.484838,-1.000000
-0.773225,-12.209265,2.000000
0.257225,-13.389193,8.000000
2.961806,-10.835679,9.000000
2.799757,-11.039331,-1.000000
6.677811,-12.801867,7.000000
2.208376,-11.671849,-1.000000
-0.850235,-12.457317,2.000000
3.061038,-11.094419,6.000000
2.878396,-10.908021,-1.000000
2.975137,-10.856921,9.000000
6.560064,-12.775945,7.000000
2.762110,-10.756305,9.000000
1.991078,-11.388041,3.000000
-0.633511,-12.391056,-1.000000
-0.857772,-12.367945,2.000000
3.090837,-11.052548,6.000000
-0.562438,-12.176795,-1.000000
-0.436321,-12.484251,-1.000000
0.327135,-13.427192,8.000000
2.120634,-10.793325,-1.000000
2.934775,-10.947646,6.000000
6.647781,-12.776063,7.000000
1.423820,-12.112388,-1.000000
3.088920,-11.059608,6.000000
-0.831320,-12.349970,2.000000
3.092905,-11.095987,-1.000000
-0.051729,-12.904626,-1.000000
-0.872000,-12.333163,2.000000
2.762443,-11.009559,6.000000
-0.799775,-12.315099,2.000000
0.272035,-13.387917,8.000000
1.866108,-11.718102,-1.000000
-0.034483,-12.998665,-1.000000
0.008715,-13.131992,-1.000000
3.118643,-10.999404,6.000000
1.511215,-11.688988,-1.000000
1.898967,-11.719550,-1.000000
2.489710,-11.686012,-1.000000
-0.903490,-12.323947,-1.000000
6.431307,-12.704030,7.000000
2.917478,-11.328670,4.000000
-0.655658,-12.055201,-1.000000
-0.907496,-12.312333,2.000000
-0.510222,-12.419479,-1.000000
6.386371,-12.799729,7.000000
1.850112,-11.284677,3.000000
-0.848621,-12.236286,-1.000000
-0.862030,-12.220502,2.000000
0.065729,-0.470785,-1.000000
2.140016,-11.148376,10.000000
3.218733,-11.060532,6.000000
0.200395,-13.033434,1.000000
1.367923,-11.985635,-1.000000
2.057081,-11.140498,10.000000
-0.904174,-12.345971,2.000000
1.874749,-11.313363,3.000000
2.464544,-10.944749,-1.000000
3.020528,-11.173098,6.000000
-0.731151,-12.326151,2.000000
2.902948,-11.415589,-1.000000
-0.573148,-12.312698,-1.000000
2.571493,-11.467178,-1.000000
-0.691586,-12.104425,-1.000000
6.422776,-12.675067,-1.000000
2.129665,-11.137970,10.000000
