x,y,cluster
7.464993,8.870863,-1.000000
6.812540,7.930373,0.000000
5.553368,7.848188,1.000000
7.248233,8.997470,4.000000
10.150313,7.525687,2.000000
7.043002,8.868152,-1.000000
6.838032,7.928574,0.000000
4.830033,7.437210,3.000000
6.976227,8.072226,-1.000000
6.834644,8.106976,0.000000
6.876856,8.773933,-1.000000
6.829219,7.863580,0.000000
6.872969,7.906605,0.000000
7.051593,8.890255,-1.000000
7.894779,8.818279,-1.000000
6.903293,8.830270,-1.000000
6.934454,8.775155,-1.000000
6.919439,8.752746,-1.000000
3.864228,7.321135,12.000000
7.152933,8.946439,4.000000
4.662672,7.301440,5.000000
7.658955,8.491395,-1.000000
3.918166,7.157250,6.000000
6.829537,8.920274,-1.000000
7.932853,9.308099,7.000000
5.538845,7.875793,1.000000
6.828924,7.976559,0.000000
5.516243,7.883061,1.000000
5.655246,7.817208,8.000000
3.850140,7.182832,6.000000
7.166330,8.867963,-1.000000
10.231791,7.483766,2.000000
6.776534,8.651408,-1.000000
7.073155,8.831666,-1.000000
6.969583,8.610935,-1.000000
7.483716,8.958094,-1.000000
7.053525,9.017747,4.000000
5.127183,7.279343,11.000000
4.553018,7.239164,5.000000
5.606312,7.939058,1.000000
6.997396,8.008252,-1.000000
7.172516,9.251643,-1.000000
6.526001,8.377591,9.000000
6.819988,7.898175,0.000000
4.878832,7.004952,-1.000000
7.529105,9.415039,14.000000
8.091547,9.344855,7.000000
7.314356,8.828322,-1.000000
6.803739,8.078704,0.000000
7.294333,8.108806,-1.000000
7.097531,8.790533,-1.000000
4.883173,6.992195,-1.000000
9.939594,7.795008,2.000000
6.629035,8.456134,9.000000
8.005504,9.338107,7.000000
6.832820,8.141477,-1.000000
6.677256,8.152160,17.000000
7.684721,8.719028,-1.000000
5.665422,7.862224,8.000000
7.499130,8.397409,10.000000
7.645297,9.019065,-1.000000
7.360673,9.392757,-1.000000
4.580858,7.289549,5.000000
6.502924,8.484570,-1.000000
10.203964,7.462533,2.000000
6.669528,8.336930,9.000000
7.029553,8.047139,-1.000000
9.602737,7.999896,-1.000000
7.968033,9.281253,7.000000
4.961255,7.261193,11.000000
3.863466,7.207045,6.000000
7.738157,9.003690,-1.000000
5.623863,7.927538,1.000000
3.872859,7.240133,6.000000
9.988423,7.724201,2.000000
5.031717,7.225597,11.000000
7.272296,8.252709,-1.000000
7.321771,9.231464,-1.000000
3.913606,7.218889,6.000000
9.458844,8.086608,-1.000000
5.014009,7.655498,3.000000
8.028382,9.120953,-1.000000
7.123092,9.192974,4.000000
6.673441,8.129600,-1.000000
4.115582,7.279990,6.000000
6.532340,8.427266,-1.000000
6.671755,8.263918,17.000000
6.901017,8.688056,-1.000000
7.476125,8.188430,-1.000000
5.245632,7.640244,-1.000000
4.901635,6.971140,-1.000000
5.516984,7.900443,1.000000
4.554626,7.259409,5.000000
6.334590,8.496162,-1.000000
7.936647,9.223152,7.000000
7.939215,9.282950,-1.000000
4.797028,7.011902,-1.000000
6.198419,7.942425,-1.000000
6.617854,7.792329,-1.000000
6.567583,8.396130,9.000000
6.179106,8.432014,-1.000000
7.580893,8.539731,-1.000000
6.410164,8.098338,-1.000000
4.493790,7.085743,13.000000
4.509539,7.220629,5.000000
4.859897,7.461279,3.000000
7.095621,9.029718,4.000000
4.950036,6.980589,-1.000000
10.107289,7.605632,2.000000
5.600394,7.772207,-1.000000
4.693606,7.217885,13.000000
5.520314,7.823895,-1.000000
7.764462,9.027472,-1.000000
7.976461,9.379263,7.000000
4.521118,7.072657,13.000000
4.548634,7.323693,5.000000
3.949176,7.317832,12.000000
6.841352,8.159494,0.000000
4.998363,7.437869,-1.000000
7.401641,8.652375,-1.000000
7.734025,9.099280,16.000000
4.890061,7.581504,3.000000
7.709558,8.512846,10.000000
3.905061,7.326721,12.000000
4.112457,7.306185,12.000000
6.569208,8.199100,17.000000
5.429077,7.787850,-1.000000
6.466584,8.300790,-1.000000
7.476144,8.491602,10.000000
7.494605,8.746634,-1.000000
5.115035,7.270899,11.000000
4.174155,7.432987,-1.000000
3.902589,7.296881,12.000000
7.537879,8.777157,-1.000000
8.038549,9.301243,7.000000
7.369955,8.946112,4.000000
6.673719,8.656146,-1.000000
7.140057,9.294014,-1.000000
6.894049,8.365269,-1.000000
7.750061,9.017215,-1.000000
4.591841,7.133109,13.000000
3.833049,7.181694,6.000000
7.574564,9.354233,14.000000
7.113626,8.809900,-1.000000
8.024160,9.056560,16.000000
9.949286,7.770540,2.000000
5.639944,7.695276,8.000000
6.649077,7.758292,-1.000000
6.947148,8.225140,-1.000000
6.863475,8.278088,-1.000000
6.783383,8.545773,-1.000000
7.256390,8.877394,-1.000000
7.484508,8.277714,10.000000
6.283068,7.963893,-1.000000
4.529212,7.127130,13.000000
7.487397,8.791960,-1.000000
4.882831,7.471001,3.000000
7.665843,8.944187,-1.000000
7.613081,8.971148,-1.000000
6.199415,8.313784,-1.000000
7.458396,8.998857,4.000000
3.954950,7.303360,12.000000
7.538231,8.788877,-1.000000
4.807650,6.947771,-1.000000
7.523550,7.782621,-1.000000
10.290659,7.383429,2.000000
6.397176,8.477092,-1.000000
9.557083,8.020927,-1.000000
6.642298,8.360564,-1.000000
4.573874,7.124357,13.000000
6.857705,8.386533,-1.000000
6.624509,8.555470,9.000000
6.440104,8.590399,-1.000000
4.721472,7.061542,13.000000
7.433956,8.993548,-1.000000
7.261931,8.630803,-1.000000
6.804682,7.885414,0.000000
7.292614,8.923059,-1.000000
4.570575,7.280818,5.000000
3.831391,7.182811,6.000000
6.601095,8.667659,-1.000000
7.420425,9.310007,14.000000
7.440186,9.409623,14.000000
4.896943,7.466455,-1.000000
7.964882,9.260791,7.000000
7.254040,8.738133,-1.000000
4.441977,7.198214,5.000000
4.494314,7.114958,13.000000
7.353628,8.607028,-1.000000
6.741709,7.850914,0.000000
6.887536,8.638947,-1.000000
6.097259,8.255146,-1.000000
7.604672,8.469066,10.000000
4.614575,7.123990,13.000000
6.638146,7.764738,-1.000000
6.620002,7.798288,-1.000000
6.655164,8.713040,-1.000000
4.978177,7.205843,11.000000
6.553438,8.204849,-1.000000
7.396976,9.108802,-1.000000
8.033129,9.387537,7.000000
7.068213,8.916653,4.000000
6.641650,8.562489,-1.000000
5.129648,7.205378,11.000000
7.256211,8.222538,-1.000000
8.034985,9.426455,7.000000
7.089293,7.984015,-1.000000
4.881764,7.570784,3.000000
7.907821,9.293924,7.000000
4.632521,7.288653,5.000000
6.915144,8.906748,-1.000000
3.870432,7.183305,6.000000
6.664296,8.088680,17.000000
5.039593,7.669312,3.000000
4.978054,7.433073,3.000000
6.954020,8.866388,-1.000000
5.534328,7.916744,1.000000
7.077516,9.253189,-1.000000
8.095737,9.351883,7.000000
6.845738,8.822100,-1.000000
6.674536,8.760609,-1.000000
7.424476,8.976348,-1.000000
4.007475,7.306988,12.000000
7.111115,8.524149,-1.000000
10.256819,7.418503,2.000000
5.432391,7.575962,-1.000000
7.574275,9.333151,14.000000
10.023158,7.710972,2.000000
7.110425,8.937793,-1.000000
3.818986,7.167791,6.000000
4.934289,7.600556,3.000000
9.900066,7.816778,2.000000
5.520733,7.779059,1.000000
5.505412,7.870250,1.000000
10.165254,7.560866,2.000000
4.518890,7.302259,5.000000
6.917530,8.971038,-1.000000
4.578353,7.098488,13.000000
6.572896,8.015387,-1.000000
7.810140,9.175965,7.000000
6.272072,7.982040,-1.000000
7.435217,9.443906,15.000000
7.977188,9.041565,16.000000
7.162765,9.102773,4.000000
5.754996,7.875197,-1.000000
7.270254,9.334714,15.000000
7.253035,9.089478,-1.000000
7.028813,8.988621,-1.000000
5.267163,7.472489,-1.000000
5.563123,7.766505,-1.000000
6.678903,8.675502,-1.000000
7.599168,9.458300,14.000000
7.649330,8.270736,10.000000
6.644455,8.229814,17.000000
5.294764,7.375194,-1.000000
6.418406,8.235007,-1.000000
7.468136,8.768487,-1.000000
7.507056,8.138750,10.000000
6.276248,8.340351,-1.000000
6.897048,8.597052,-1.000000
6.655515,8.184044,17.000000
4.567739,7.040060,13.000000
7.315032,9.233732,-1.000000
5.974354,8.270164,-1.000000
6.590105,8.500898,9.000000
7.432525,8.228101,-1.000000
4.811685,7.393608,3.000000
6.380878,8.258348,-1.000000
7.554131,8.916702,-1.000000
7.096190,8.807279,-1.000000
6.899818,8.272783,-1.000000
7.297205,8.910226,-1.000000
7.821334,9.074822,-1.000000
4.125527,7.404593,-1.000000
5.795067,7.797525,8.000000
4.154768,7.419764,-1.000000
4.811879,7.358784,3.000000
10.263471,7.394941,2.000000
4.551049,7.195863,5.000000
7.805942,9.123784,16.000000
4.500715,7.073694,13.000000
7.251814,9.057998,4.000000
7.297878,9.099017,4.000000
6.762593,8.320270,9.000000
7.568191,8.377636,10.000000
6.552890,8.609083,-1.000000
5.721485,7.897929,-1.000000
7.569419,8.647882,-1.000000
4.558193,7.131385,13.000000
6.725875,7.978922,0.000000
5.063055,7.133482,11.000000
5.812284,7.765830,8.000000
6.307771,7.971298,-1.000000
5.565360,7.961490,1.000000
7.740906,9.115792,-1.000000
7.910997,8.791594,-1.000000
5.714149,7.899008,8.000000
7.100892,8.776175,4.000000
4.881678,7.448159,3.000000
6.748506,7.936895,0.000000
7.783429,9.308404,14.000000
6.448084,8.015845,-1.000000
5.116416,7.254624,11.000000
4.953775,7.465737,3.000000
6.385706,8.416173,-1.000000
7.667361,9.102458,-1.000000
7.419671,8.711935,-1.000000
6.713796,7.904212,0.000000
3.887092,7.319539,12.000000
5.036561,7.553382,-1.000000
5.615382,7.917398,1.000000
6.656188,8.337289,9.000000
7.406845,8.334613,10.000000
4.015754,7.256773,6.000000
6.809609,7.883633,-1.000000
7.615644,9.394809,14.000000
7.288651,9.434105,-1.000000
5.451498,7.805843,1.000000
6.676243,8.604259,9.000000
4.980002,7.463845,-1.000000
7.684538,8.457610,10.000000
5.688498,7.853211,8.000000
6.927068,8.923910,-1.000000
7.086442,9.211168,-1.000000
5.771908,7.804231,8.000000
9.953265,7.766297,2.000000
4.951199,7.520009,-1.000000
7.195306,9.243825,-1.000000
5.649878,7.722526,8.000000
6.807030,8.283610,-1.000000
7.662172,9.148996,-1.000000
7.560615,9.354095,14.000000
4.686325,7.234371,13.000000
7.894632,9.172309,7.000000
5.523147,7.833093,1.000000
7.404135,8.578495,-1.000000
7.247237,9.303584,-1.000000
5.579684,7.953855,1.000000
4.569462,7.138696,13.000000
6.463637,8.017129,-1.000000
7.243696,8.913032,-1.000000
6.891207,8.605380,-1.000000
7.905803,9.151046,16.000000
5.721360,7.757151,8.000000
4.857642,7.426854,3.000000
5.168641,7.267914,11.000000
4.495130,7.269412,5.000000
6.917267,8.725828,-1.000000
6.635437,8.121576,17.000000
5.455644,7.878664,1.000000
5.773096,7.900390,-1.000000
7.387456,8.917753,-1.000000
4.945524,7.467853,-1.000000
9.794965,7.838721,2.000000
8.038644,9.356498,7.000000
6.635376,8.124618,-1.000000
7.425217,8.394956,10.000000
7.512515,8.908610,-1.000000
7.408392,8.598832,-1.000000
4.140866,7.422066,-1.000000
7.051688,8.385693,-1.000000
4.500233,7.310735,5.000000
5.060816,7.637432,-1.000000
5.554899,7.794107,8.000000
6.718801,8.691876,-1.000000
6.995178,8.787262,-1.000000
6.637424,8.276809,17.000000
4.107222,7.304060,12.000000
7.853054,9.252529,16.000000
7.049725,9.023437,4.000000
4.095987,7.303998,12.000000
4.664066,7.092105,13.000000
4.514524,7.216122,13.000000
5.758268,7.846189,8.000000
4.938197,7.537910,3.000000
10.086711,7.678476,2.000000
7.346348,9.353244,15.000000
6.840611,8.152749,-1.000000
4.584743,7.193797,13.000000
7.822630,9.309717,14.000000
5.988081,8.260983,-1.000000
5.719625,7.883034,8.000000
7.475906,8.696714,-1.000000
5.495038,7.849873,1.000000
6.175566,7.979411,-1.000000
7.088743,9.261001,-1.000000
7.211918,8.963125,4.000000
7.316391,8.836025,-1.000000
6.872327,7.886784,0.000000
7.084435,9.257174,-1.000000
3.973147,7.264314,6.000000
3.845641,7.188517,6.000000
6.844100,7.877595,0.000000
4.540071,7.165091,13.000000
3.921947,7.209276,6.000000
6.398364,8.259176,-1.000000
6.510333,8.097716,-1.000000
5.079263,7.688990,3.000000
7.913727,9.280631,-1.000000
7.129704,8.954551,4.000000
6.395612,8.044801,-1.000000
5.208694,7.750740,-1.000000
6.461279,7.979385,-1.000000
7.506610,9.381911,-1.000000
7.948643,8.787419,-1.000000
7.172275,9.115191,4.000000
7.418718,8.993260,-1.000000
5.732291,7.797649,8.000000
6.576910,8.452258,9.000000
7.203628,8.870597,4.000000
7.380716,8.922092,-1.000000
7.636447,8.211381,10.000000
7.752022,8.421373,10.000000
7.262638,9.091078,4.000000
4.536251,7.134341,13.000000
4.934212,7.183325,11.000000
7.127150,9.011228,4.000000
4.913160,7.579205,3.000000
6.911159,8.641501,-1.000000
5.038135,7.550569,-1.000000
10.117886,7.577430,2.000000
7.343283,9.366966,-1.000000
5.684635,7.883684,8.000000
6.683351,8.138002,17.000000
5.752425,7.941050,-1.000000
6.540379,8.646438,-1.000000
6.920567,8.241388,-1.000000
5.219461,7.368577,-1.000000
7.248751,9.018970,-1.000000
7.409263,8.788002,-1.000000
4.694848,7.430519,3.000000
6.398175,8.073683,-1.000000
5.732501,7.859665,8.000000
6.260440,8.407681,-1.000000
3.884583,7.323121,12.000000
6.074067,8.320374,-1.000000
3.870781,7.204676,6.000000
6.984286,8.247575,-1.000000
7.816110,8.470936,10.000000
10.093059,7.515062,2.000000
5.088922,7.167249,11.000000
4.585692,7.104506,13.000000
7.501983,8.928726,-1.000000
6.505025,8.030380,-1.000000
10.220361,7.480706,2.000000
6.662052,8.545151,-1.000000
9.964363,7.778518,2.000000
7.065349,9.044574,4.000000
4.865854,7.211930,-1.000000
7.931761,9.213249,-1.000000
3.946976,7.237558,6.000000
6.955174,8.562459,-1.000000
7.997183,9.284739,7.000000
6.502948,8.007687,-1.000000
6.860246,7.957671,0.000000
4.737915,7.433438,3.000000
7.877954,9.328035,-1.000000
7.212041,9.194748,-1.000000
7.596757,8.922265,-1.000000
6.604210,8.191454,-1.000000
7.760976,8.566788,-1.000000
7.599009,8.882668,-1.000000
7.113997,8.922425,-1.000000
5.516986,7.790689,1.000000
7.047424,8.790050,-1.000000
4.148890,7.417357,-1.000000
4.512216,7.059156,13.000000
5.295414,7.399489,-1.000000
6.914303,8.441456,-1.000000
6.610051,8.084888,17.000000
5.678145,7.796718,8.000000
4.842580,7.050551,-1.000000
6.241566,8.182542,-1.000000
3.887593,7.332002,12.000000
7.588778,9.459046,14.000000
5.581972,7.971867,1.000000
7.692245,9.077628,-1.000000
6.012861,8.300066,-1.000000
4.396078,7.193290,5.000000
7.712383,9.073318,16.000000
7.636821,8.904862,-1.000000
7.845715,8.703769,-1.000000
5.625721,7.772827,8.000000
5.553921,7.889217,1.000000
7.491047,9.377838,15.000000
7.858878,9.246803,7.000000
6.105852,8.207438,-1.000000
7.000591,8.960960,4.000000
6.522019,8.644584,-1.000000
4.515953,7.096419,13.000000
6.947897,8.255338,-1.000000
5.830315,7.888352,-1.000000
4.494451,7.260813,5.000000
5.439391,7.574259,-1.000000
7.666565,8.261374,10.000000
4.839057,7.283873,-1.000000
6.850014,8.402447,-1.000000
4.963835,7.605564,3.000000
5.701003,7.826627,8.000000
5.553365,7.876325,8.000000
4.078871,7.345708,6.000000
9.666806,7.943429,-1.000000
7.051972,8.863475,4.000000
5.006046,7.180687,11.000000
6.818467,7.861887,0.000000
7.895759,9.292814,-1.000000
7.583802,8.401467,10.000000
4.156499,7.443500,-1.000000
6.540158,8.069511,-1.000000
6.923834,8.641622,-1.000000
7.211543,8.740754,-1.000000
6.516218,8.372358,9.000000
7.232178,9.106688,4.000000
5.562697,7.830288,8.000000
5.694685,7.825192,8.000000
7.633332,8.437306,10.000000
8.067369,9.381987,-1.000000
3.996649,7.231419,6.000000
7.016850,8.598823,-1.000000
5.543596,7.975205,1.000000
6.695168,8.020218,0.000000
7.884248,9.190990,16.000000
7.017300,8.873527,4.000000
4.638655,7.257917,5.000000
8.053418,9.410055,7.000000
10.204096,7.473710,2.000000
7.464974,8.119949,-1.000000
7.465538,8.969147,-1.000000
5.457943,7.714414,-1.000000
7.261460,8.820912,-1.000000
4.602862,7.107698,13.000000
6.815961,7.870018,0.000000
6.829006,7.884077,0.000000
7.218775,9.026642,4.000000
6.326045,8.447814,-1.000000
5.718799,7.732245,8.000000
5.547525,7.930232,1.000000
6.394714,8.063311,-1.000000
8.006876,9.252170,16.000000
7.542318,9.380612,-1.000000
8.052287,9.344090,7.000000
5.762938,7.990929,-1.000000
6.347494,8.513807,-1.000000
4.537261,7.131806,13.000000
5.023964,7.599019,3.000000
7.392883,9.349385,15.000000
6.028883,8.304032,-1.000000
6.631204,8.168434,-1.000000
7.630551,8.315386,10.000000
7.581817,9.509963,14.000000
7.479751,9.487892,14.000000
7.030792,8.540390,-1.000000
6.749188,8.312389,17.000000
7.739839,9.194839,-1.000000
6.716656,8.557240,-1.000000
7.795862,9.020604,-1.000000
5.579921,7.752543,-1.000000
5.678424,7.827404,-1.000000
5.448937,7.742352,-1.000000
9.909450,7.823829,2.000000
5.114287,7.711587,3.000000
6.350816,8.106601,-1.000000
7.891793,9.278801,-1.000000
5.772178,8.023515,8.000000
7.496969,8.311137,10.000000
7.880040,8.985975,-1.000000
4.933286,7.583699,3.000000
5.557967,7.744162,-1.000000
5.079733,7.688323,3.000000
8.032605,9.031346,-1.000000
7.631832,7.768022,-1.000000
3.929558,7.304601,12.000000
7.621374,8.790412,-1.000000
7.861325,9.176262,16.000000
10.070527,7.564940,2.000000
6.923259,8.865073,-1.000000
7.525687,8.768017,-1.000000
7.737540,8.518834,10.000000
7.007712,8.651978,-1.000000
6.564505,8.637574,-1.000000
7.370712,9.424301,-1.000000
6.011981,8.102195,-1.000000
7.469050,8.951292,-1.000000
5.794307,7.916380,-1.000000
3.964869,7.257283,6.000000
5.509965,7.884611,1.000000
7.116425,8.673855,-1.000000
4.964120,7.433273,-1.000000
4.015684,7.281812,6.000000
6.565832,8.273802,-1.000000
4.190704,7.450756,-1.000000
6.599317,8.694850,-1.000000
3.867557,7.199361,6.000000
5.575489,7.843149,8.000000
4.544545,7.124845,13.000000
7.743479,9.083385,-1.000000
4.988057,7.540369,3.000000
7.483534,8.759940,-1.000000
7.855866,9.384160,-1.000000
4.798724,7.242858,13.000000
4.173133,7.306617,-1.000000
7.129095,8.764022,-1.000000
5.156189,7.627383,-1.000000
7.334952,8.890241,-1.000000
4.102520,7.265766,6.000000
5.121429,7.628300,-1.000000
8.231414,8.862707,-1.000000
8.141863,9.391683,7.000000
7.934724,8.983673,16.000000
7.102967,9.056361,-1.000000
10.291549,7.306949,2.000000
5.684864,7.845726,-1.000000
7.885023,9.338991,-1.000000
8.080100,9.373851,7.000000
6.551426,8.114383,17.000000
7.617399,9.298496,14.000000
6.008615,8.317266,-1.000000
7.493640,8.544430,10.000000
5.053452,7.562701,-1.000000
4.564400,7.177020,13.000000
7.418318,7.997224,-1.000000
6.872824,8.426331,-1.000000
7.459263,9.440555,-1.000000
6.991333,9.026448,4.000000
8.062704,9.421552,7.000000
9.804462,7.864910,2.000000
6.432781,8.253244,-1.000000
7.522057,9.346662,15.000000
7.220088,9.307442,-1.000000
7.761441,8.404027,10.000000
3.890826,7.224887,6.000000
7.870624,8.832804,-1.000000
6.209720,8.277151,-1.000000
4.932158,6.933537,-1.000000
6.870950,8.275417,-1.000000
5.033556,7.543980,-1.000000
10.270862,7.405881,2.000000
7.450832,8.460279,10.000000
7.413224,8.637337,-1.000000
4.608802,7.180412,13.000000
5.500228,7.742594,-1.000000
7.076033,8.377669,-1.000000
4.131725,7.333266,12.000000
7.357446,9.354313,15.000000
3.862612,7.206697,6.000000
4.873218,7.492238,3.000000
4.445516,7.329114,5.000000
4.953220,7.550124,3.000000
6.955611,8.857471,-1.000000
8.047594,8.942867,16.000000
7.141241,8.490367,-1.000000
5.550600,7.794132,-1.000000
7.090814,9.037403,4.000000
4.911850,7.255164,11.000000
7.869915,9.326755,-1.000000
4.187119,7.300411,-1.000000
6.357198,7.977313,-1.000000
7.491962,8.741493,-1.000000
6.415909,8.476589,-1.000000
6.161833,7.953492,-1.000000
4.488231,7.070641,13.000000
7.161184,8.719348,-1.000000
5.735549,7.921378,8.000000
6.852592,8.020308,0.000000
4.429874,7.181091,5.000000
5.808385,7.873230,8.000000
6.599771,8.052489,17.000000
8.394001,8.744545,-1.000000
7.331441,8.830852,4.000000
3.927845,7.310609,12.000000
6.873828,8.276974,-1.000000
5.762604,8.021825,-1.000000
8.114617,8.952798,16.000000
7.077484,8.906510,4.000000
6.920133,8.798893,-1.000000
6.641502,8.029725,17.000000
7.775085,7.795626,-1.000000
6.554199,8.518365,-1.000000
4.441645,7.258874,5.000000
6.728210,7.819614,0.000000
10.005255,7.645744,2.000000
7.357918,8.541283,-1.000000
7.700014,9.147945,-1.000000
5.476894,7.635722,-1.000000
6.122775,8.372060,-1.000000
4.918097,7.274436,11.000000
5.032225,7.648280,3.000000
5.616621,7.983081,-1.000000
6.217113,8.565285,-1.000000
6.940326,8.459404,-1.000000
6.935000,8.765794,-1.000000
5.023888,7.430402,-1.000000
6.528936,8.636692,-1.000000
5.065637,7.621788,-1.000000
5.688529,7.843094,8.000000
7.154129,8.550431,-1.000000
