x,y,cluster
7.464993,8.870863,2.000000
6.812540,7.930373,2.000000
5.553368,7.848188,4.000000
7.248233,8.997470,2.000000
10.150313,7.525687,0.000000
7.043002,8.868152,2.000000
6.838032,7.928574,2.000000
4.830033,7.437210,8.000000
6.976227,8.072226,2.000000
6.834644,8.106976,2.000000
6.876856,8.773933,2.000000
6.829219,7.863580,2.000000
6.872969,7.906605,2.000000
7.051593,8.890255,2.000000
7.894779,8.818279,2.000000
6.903293,8.830270,2.000000
6.934454,8.775155,2.000000
6.919439,8.752746,2.000000
3.864228,7.321135,3.000000
7.152933,8.946439,2.000000
4.662672,7.301440,7.000000
7.658955,8.491395,2.000000
3.918166,7.157250,1.000000
6.829537,8.920274,2.000000
7.932853,9.308099,2.000000
5.538845,7.875793,4.000000
6.828924,7.976559,2.000000
5.516243,7.883061,4.000000
5.655246,7.817208,4.000000
3.850140,7.182832,1.000000
7.166330,8.867963,2.000000
10.231791,7.483766,0.000000
6.776534,8.651408,2.000000
7.073155,8.831666,2.000000
6.969583,8.610935,2.000000
7.483716,8.958094,2.000000
7.053525,9.017747,2.000000
5.127183,7.279343,5.000000
4.553018,7.239164,7.000000
5.606312,7.939058,4.000000
6.997396,8.008252,2.000000
7.172516,9.251643,2.000000
6.526001,8.377591,2.000000
6.819988,7.898175,2.000000
4.878832,7.004952,-1.000000
7.529105,9.415039,2.000000
8.091547,9.344855,2.000000
7.314356,8.828322,2.000000
6.803739,8.078704,2.000000
7.294333,8.108806,2.000000
7.097531,8.790533,2.000000
4.883173,6.992195,-1.000000
9.939594,7.795008,0.000000
6.629035,8.456134,2.000000
8.005504,9.338107,2.000000
6.832820,8.141477,2.000000
6.677256,8.152160,2.000000
7.684721,8.719028,2.000000
5.665422,7.862224,4.000000
7.499130,8.397409,2.000000
7.645297,9.019065,2.000000
7.360673,9.392757,2.000000
4.580858,7.289549,7.000000
6.502924,8.484570,2.000000
10.203964,7.462533,0.000000
6.669528,8.336930,2.000000
7.029553,8.047139,2.000000
9.602737,7.999896,0.000000
7.968033,9.281253,2.000000
4.961255,7.261193,5.000000
3.863466,7.207045,1.000000
7.738157,9.003690,2.000000
5.623863,7.927538,4.000000
3.872859,7.240133,1.000000
9.988423,7.724201,0.000000
5.031717,7.225597,5.000000
7.272296,8.252709,2.000000
7.321771,9.231464,2.000000
3.913606,7.218889,1.000000
9.458844,8.086608,0.000000
5.014009,7.655498,8.000000
8.028382,9.120953,2.000000
7.123092,9.192974,2.000000
6.673441,8.129600,2.000000
4.115582,7.279990,1.000000
6.532340,8.427266,2.000000
6.671755,8.263918,2.000000
6.901017,8.688056,2.000000
7.476125,8.188430,2.000000
5.245632,7.640244,-1.000000
4.901635,6.971140,-1.000000
5.516984,7.900443,4.000000
4.554626,7.259409,7.000000
6.334590,8.496162,2.000000
7.936647,9.223152,2.000000
7.939215,9.282950,2.000000
4.797028,7.011902,-1.000000
6.198419,7.942425,2.000000
6.617854,7.792329,2.000000
6.567583,8.396130,2.000000
6.179106,8.432014,2.000000
7.580893,8.539731,2.000000
6.410164,8.098338,2.000000
4.493790,7.085743,6.000000
4.509539,7.220629,7.000000
4.859897,7.461279,8.000000
7.095621,9.029718,2.000000
4.950036,6.980589,-1.000000
10.107289,7.605632,0.000000
5.600394,7.772207,4.000000
4.693606,7.217885,6.000000
5.520314,7.823895,4.000000
7.764462,9.027472,2.000000
7.976461,9.379263,2.000000
4.521118,7.072657,6.000000
4.548634,7.323693,7.000000
3.949176,7.317832,3.000000
6.841352,8.159494,2.000000
4.998363,7.437869,-1.000000
7.401641,8.652375,2.000000
7.734025,9.099280,2.000000
4.890061,7.581504,8.000000
7.709558,8.512846,2.000000
3.905061,7.326721,3.000000
4.112457,7.306185,3.000000
6.569208,8.199100,2.000000
5.429077,7.787850,4.000000
6.466584,8.300790,2.000000
7.476144,8.491602,2.000000
7.494605,8.746634,2.000000
5.115035,7.270899,5.000000
4.174155,7.432987,1.000000
3.902589,7.296881,3.000000
7.537879,8.777157,2.000000
8.038549,9.301243,2.000000
7.369955,8.946112,2.000000
6.673719,8.656146,2.000000
7.140057,9.294014,2.000000
6.894049,8.365269,2.000000
7.750061,9.017215,2.000000
4.591841,7.133109,6.000000
3.833049,7.181694,1.000000
7.574564,9.354233,2.000000
7.113626,8.809900,2.000000
8.024160,9.056560,2.000000
9.949286,7.770540,0.000000
5.639944,7.695276,4.000000
6.649077,7.758292,2.000000
6.947148,8.225140,2.000000
6.863475,8.278088,2.000000
6.783383,8.545773,2.000000
7.256390,8.877394,2.000000
7.484508,8.277714,2.000000
