x,y,cluster
7.464993,8.870863,92.000000
6.812540,7.930373,32.000000
5.553368,7.848188,17.000000
7.248233,8.997470,79.000000
10.150313,7.525687,5.000000
7.043002,8.868152,6.000000
6.838032,7.928574,32.000000
4.830033,7.437210,1.000000
6.976227,8.072226,76.000000
6.834644,8.106976,86.000000
6.876856,8.773933,56.000000
6.829219,7.863580,12.000000
6.872969,7.906605,12.000000
7.051593,8.890255,6.000000
7.894779,8.818279,62.000000
6.903293,8.830270,56.000000
6.934454,8.775155,56.000000
6.919439,8.752746,48.000000
3.864228,7.321135,88.000000
7.152933,8.946439,31.000000
4.662672,7.301440,68.000000
7.658955,8.491395,39.000000
3.918166,7.157250,95.000000
6.829537,8.920274,49.000000
7.932853,9.308099,7.000000
5.538845,7.875793,17.000000
6.828924,7.976559,12.000000
5.516243,7.883061,55.000000
5.655246,7.817208,4.000000
3.850140,7.182832,3.000000
7.166330,8.867963,14.000000
10.231791,7.483766,5.000000
6.776534,8.651408,48.000000
7.073155,8.831666,6.000000
6.969583,8.610935,24.000000
7.483716,8.958094,65.000000
7.053525,9.017747,84.000000
5.127183,7.279343,19.000000
4.553018,7.239164,68.000000
5.606312,7.939058,17.000000
6.997396,8.008252,76.000000
7.172516,9.251643,25.000000
6.526001,8.377591,41.000000
6.819988,7.898175,32.000000
4.878832,7.004952,47.000000
7.529105,9.415039,18.000000
8.091547,9.344855,7.000000
7.314356,8.828322,50.000000
6.803739,8.078704,32.000000
7.294333,8.108806,97.000000
7.097531,8.790533,14.000000
4.883173,6.992195,47.000000
9.939594,7.795008,77.000000
6.629035,8.456134,71.000000
8.005504,9.338107,7.000000
6.832820,8.141477,36.000000
6.677256,8.152160,60.000000
7.684721,8.719028,78.000000
5.665422,7.862224,90.000000
7.499130,8.397409,42.000000
7.645297,9.019065,69.000000
7.360673,9.392757,63.000000
4.580858,7.289549,68.000000
6.502924,8.484570,98.000000
10.203964,7.462533,5.000000
6.669528,8.336930,71.000000
7.029553,8.047139,97.000000
9.602737,7.999896,35.000000
7.968033,9.281253,7.000000
4.961255,7.261193,43.000000
3.863466,7.207045,3.000000
7.738157,9.003690,69.000000
5.623863,7.927538,17.000000
3.872859,7.240133,3.000000
9.988423,7.724201,77.000000
5.031717,7.225597,19.000000
7.272296,8.252709,38.000000
7.321771,9.231464,67.000000
3.913606,7.218889,95.000000
9.458844,8.086608,35.000000
5.014009,7.655498,66.000000
8.028382,9.120953,10.000000
7.123092,9.192974,79.000000
6.673441,8.129600,36.000000
4.115582,7.279990,26.000000
6.532340,8.427266,74.000000
6.671755,8.263918,60.000000
6.901017,8.688056,49.000000
7.476125,8.188430,38.000000
5.245632,7.640244,73.000000
4.901635,6.971140,47.000000
5.516984,7.900443,55.000000
4.554626,7.259409,68.000000
6.334590,8.496162,64.000000
7.936647,9.223152,69.000000
7.939215,9.282950,91.000000
4.797028,7.011902,47.000000
6.198419,7.942425,72.000000
6.617854,7.792329,44.000000
6.567583,8.396130,71.000000
6.179106,8.432014,9.000000
7.580893,8.539731,75.000000
6.410164,8.098338,58.000000
4.493790,7.085743,30.000000
4.509539,7.220629,68.000000
4.859897,7.461279,1.000000
7.095621,9.029718,84.000000
4.950036,6.980589,47.000000
10.107289,7.605632,5.000000
5.600394,7.772207,85.000000
4.693606,7.217885,8.000000
5.520314,7.823895,73.000000
7.764462,9.027472,10.000000
7.976461,9.379263,53.000000
4.521118,7.072657,30.000000
4.548634,7.323693,68.000000
3.949176,7.317832,88.000000
6.841352,8.159494,86.000000
4.998363,7.437869,54.000000
7.401641,8.652375,22.000000
7.734025,9.099280,80.000000
4.890061,7.581504,34.000000
7.709558,8.512846,78.000000
3.905061,7.326721,88.000000
4.112457,7.306185,15.000000
6.569208,8.199100,16.000000
5.429077,7.787850,73.000000
6.466584,8.300790,98.000000
7.476144,8.491602,78.000000
7.494605,8.746634,81.000000
5.115035,7.270899,19.000000
4.174155,7.432987,26.000000
3.902589,7.296881,88.000000
7.537879,8.777157,22.000000
8.038549,9.301243,7.000000
7.369955,8.946112,65.000000
6.673719,8.656146,46.000000
7.140057,9.294014,70.000000
6.894049,8.365269,29.000000
7.750061,9.017215,0.000000
4.591841,7.133109,94.000000
3.833049,7.181694,3.000000
7.574564,9.354233,33.000000
7.113626,8.809900,14.000000
8.024160,9.056560,10.000000
9.949286,7.770540,77.000000
5.639944,7.695276,90.000000
6.649077,7.758292,44.000000
6.947148,8.225140,59.000000
6.863475,8.278088,29.000000
6.783383,8.545773,59.000000
7.256390,8.877394,50.000000
7.484508,8.277714,42.000000
6.283068,7.963893,72.000000
4.529212,7.127130,94.000000
7.487397,8.791960,22.000000
4.882831,7.471001,1.000000
7.665843,8.944187,80.000000
7.613081,8.971148,40.000000
6.199415,8.313784,37.000000
7.458396,8.998857,25.000000
3.954950,7.303360,88.000000
7.538231,8.788877,22.000000
4.807650,6.947771,47.000000
7.523550,7.782621,21.000000
10.290659,7.383429,5.000000
6.397176,8.477092,98.000000
9.557083,8.020927,35.000000
6.642298,8.360564,71.000000
4.573874,7.124357,94.000000
6.857705,8.386533,59.000000
6.624509,8.555470,71.000000
6.440104,8.590399,98.000000
4.721472,7.061542,8.000000
7.433956,8.993548,23.000000
7.261931,8.630803,22.000000
6.804682,7.885414,12.000000
7.292614,8.923059,23.000000
4.570575,7.280818,68.000000
3.831391,7.182811,3.000000
6.601095,8.667659,46.000000
7.420425,9.310007,33.000000
7.440186,9.409623,33.000000
4.896943,7.466455,57.000000
7.964882,9.260791,7.000000
7.254040,8.738133,11.000000
4.441977,7.198214,27.000000
4.494314,7.114958,30.000000
7.353628,8.607028,11.000000
6.741709,7.850914,32.000000
6.887536,8.638947,96.000000
6.097259,8.255146,9.000000
7.604672,8.469066,78.000000
4.614575,7.123990,94.000000
6.638146,7.764738,44.000000
6.620002,7.798288,44.000000
6.655164,8.713040,2.000000
4.978177,7.205843,43.000000
6.553438,8.204849,58.000000
7.396976,9.108802,84.000000
8.033129,9.387537,7.000000
7.068213,8.916653,31.000000
6.641650,8.562489,41.000000
5.129648,7.205378,19.000000
7.256211,8.222538,97.000000
8.034985,9.426455,7.000000
7.089293,7.984015,76.000000
4.881764,7.570784,34.000000
7.907821,9.293924,7.000000
4.632521,7.288653,68.000000
6.915144,8.906748,49.000000
3.870432,7.183305,3.000000
6.664296,8.088680,60.000000
5.039593,7.669312,66.000000
4.978054,7.433073,54.000000
6.954020,8.866388,96.000000
5.534328,7.916744,55.000000
7.077516,9.253189,70.000000
8.095737,9.351883,7.000000
6.845738,8.822100,2.000000
6.674536,8.760609,2.000000
7.424476,8.976348,23.000000
4.007475,7.306988,15.000000
7.111115,8.524149,24.000000
10.256819,7.418503,5.000000
5.432391,7.575962,61.000000
7.574275,9.333151,33.000000
10.023158,7.710972,77.000000
7.110425,8.937793,6.000000
3.818986,7.167791,3.000000
4.934289,7.600556,34.000000
9.900066,7.816778,77.000000
5.520733,7.779059,17.000000
5.505412,7.870250,17.000000
10.165254,7.560866,5.000000
4.518890,7.302259,68.000000
6.917530,8.971038,49.000000
4.578353,7.098488,94.000000
6.572896,8.015387,36.000000
7.810140,9.175965,69.000000
6.272072,7.982040,72.000000
7.435217,9.443906,18.000000
7.977188,9.041565,10.000000
7.162765,9.102773,79.000000
5.754996,7.875197,45.000000
7.270254,9.334714,67.000000
7.253035,9.089478,23.000000
7.028813,8.988621,49.000000
5.267163,7.472489,82.000000
5.563123,7.766505,85.000000
6.678903,8.675502,2.000000
7.599168,9.458300,33.000000
7.649330,8.270736,42.000000
6.644455,8.229814,60.000000
5.294764,7.375194,82.000000
6.418406,8.235007,37.000000
7.468136,8.768487,81.000000
7.507056,8.138750,38.000000
6.276248,8.340351,9.000000
6.897048,8.597052,24.000000
6.655515,8.184044,16.000000
4.567739,7.040060,30.000000
7.315032,9.233732,67.000000
5.974354,8.270164,51.000000
6.590105,8.500898,41.000000
7.432525,8.228101,38.000000
4.811685,7.393608,1.000000
6.380878,8.258348,37.000000
7.554131,8.916702,22.000000
7.096190,8.807279,14.000000
6.899818,8.272783,29.000000
7.297205,8.910226,83.000000
7.821334,9.074822,0.000000
4.125527,7.404593,26.000000
5.795067,7.797525,52.000000
4.154768,7.419764,26.000000
4.811879,7.358784,1.000000
10.263471,7.394941,5.000000
4.551049,7.195863,27.000000
7.805942,9.123784,80.000000
4.500715,7.073694,30.000000
7.251814,9.057998,84.000000
7.297878,9.099017,84.000000
6.762593,8.320270,71.000000
7.568191,8.377636,42.000000
6.552890,8.609083,74.000000
5.721485,7.897929,45.000000
7.569419,8.647882,75.000000
4.558193,7.131385,8.000000
6.725875,7.978922,86.000000
5.063055,7.133482,19.000000
5.812284,7.765830,52.000000
6.307771,7.971298,58.000000
5.565360,7.961490,55.000000
7.740906,9.115792,40.000000
7.910997,8.791594,62.000000
5.714149,7.899008,90.000000
7.100892,8.776175,31.000000
4.881678,7.448159,1.000000
6.748506,7.936895,32.000000
7.783429,9.308404,87.000000
6.448084,8.015845,93.000000
5.116416,7.254624,19.000000
4.953775,7.465737,54.000000
6.385706,8.416173,71.000000
7.667361,9.102458,40.000000
7.419671,8.711935,13.000000
6.713796,7.904212,32.000000
3.887092,7.319539,88.000000
5.036561,7.553382,28.000000
5.615382,7.917398,85.000000
6.656188,8.337289,71.000000
7.406845,8.334613,42.000000
4.015754,7.256773,95.000000
6.809609,7.883633,32.000000
7.615644,9.394809,33.000000
7.288651,9.434105,63.000000
5.451498,7.805843,17.000000
6.676243,8.604259,71.000000
4.980002,7.463845,57.000000
7.684538,8.457610,78.000000
5.688498,7.853211,52.000000
6.927068,8.923910,49.000000
7.086442,9.211168,70.000000
5.771908,7.804231,52.000000
9.953265,7.766297,77.000000
4.951199,7.520009,28.000000
7.195306,9.243825,25.000000
5.649878,7.722526,4.000000
6.807030,8.283610,71.000000
7.662172,9.148996,69.000000
7.560615,9.354095,33.000000
4.686325,7.234371,8.000000
7.894632,9.172309,69.000000
5.523147,7.833093,17.000000
7.404135,8.578495,22.000000
7.247237,9.303584,63.000000
5.579684,7.953855,55.000000
4.569462,7.138696,8.000000
6.463637,8.017129,93.000000
7.243696,8.913032,83.000000
6.891207,8.605380,48.000000
7.905803,9.151046,89.000000
5.721360,7.757151,4.000000
4.857642,7.426854,1.000000
5.168641,7.267914,19.000000
4.495130,7.269412,68.000000
6.917267,8.725828,49.000000
6.635437,8.121576,16.000000
5.455644,7.878664,55.000000
5.773096,7.900390,45.000000
7.387456,8.917753,75.000000
4.945524,7.467853,57.000000
9.794965,7.838721,77.000000
8.038644,9.356498,7.000000
6.635376,8.124618,16.000000
7.425217,8.394956,42.000000
7.512515,8.908610,50.000000
7.408392,8.598832,22.000000
4.140866,7.422066,26.000000
7.051688,8.385693,24.000000
4.500233,7.310735,68.000000
5.060816,7.637432,66.000000
5.554899,7.794107,4.000000
6.718801,8.691876,46.000000
6.995178,8.787262,48.000000
6.637424,8.276809,60.000000
4.107222,7.304060,15.000000
7.853054,9.252529,89.000000
7.049725,9.023437,31.000000
4.095987,7.303998,15.000000
4.664066,7.092105,8.000000
4.514524,7.216122,8.000000
5.758268,7.846189,52.000000
4.938197,7.537910,34.000000
10.086711,7.678476,77.000000
7.346348,9.353244,67.000000
6.840611,8.152749,60.000000
4.584743,7.193797,8.000000
7.822630,9.309717,87.000000
5.988081,8.260983,51.000000
5.719625,7.883034,45.000000
7.475906,8.696714,13.000000
5.495038,7.849873,17.000000
6.175566,7.979411,72.000000
7.088743,9.261001,70.000000
7.211918,8.963125,65.000000
7.316391,8.836025,50.000000
6.872327,7.886784,32.000000
7.084435,9.257174,70.000000
3.973147,7.264314,95.000000
3.845641,7.188517,3.000000
6.844100,7.877595,12.000000
4.540071,7.165091,8.000000
3.921947,7.209276,95.000000
6.398364,8.259176,37.000000
6.510333,8.097716,58.000000
5.079263,7.688990,66.000000
7.913727,9.280631,91.000000
