matched_query,Unnamed: 0,hash,failure_invariant
block.timestamp > deadline,223,0xe2a0367f58523fa088c408892bba9f70477ec6e58749eedd07c520229292c76b,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,645,0x3ef05dd5242a283abb2a62c62473323df1dfb683c6ce5312955f4b9ff7e8e214,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,756,0x9422c8dc8f9ffbb2c4ea1769f231899c1ec059a4a540ef26586bae90406568d2,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,1024,0x8fe42032559de42b4106532fb9b9660229c53a809f17c38308cd4174fa38db01,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,1037,0xdcdc2cf2881937f3c781ed5438167a5fb84cf7fc2ce1a0b41a44f664ebe3598d,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,1177,0x9608c7b476807b6d578ff298d508fce8debd09e26b4b37e70a2a7ef9e4f67725,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,1958,0xd0eccfe4d109655ea3792b405a48099d22a84d69578532c23c3a1e1c523d7a36,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,2091,0x9dbb9d6e679689b6544ac7e89ea7d405fff38d60ad05f1666a29f9edcdb4b3bf,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,2101,0x6b93097638b1add712e748608258341986e7814ab7349c9051aa7fec39cbc4ae,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,2136,0x8f2b327ca0aee1dd5a83ec1898ee2f874b6f246e6b12315c4c64f495b4c9b628,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,2204,0x8faf094175887175a6f947238faa982e238bfefd8bb4bbb99180bfac649aaec7,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,2212,0xd463daffb81ede484d678d4871a865ec525233931b21a6c24fb39c2f86c902bc,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,2571,0x63a98075b05ffe6b9dde6b81d1d89115f90a0f5cf884c81c4f21dce829c7efc3,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,2582,0xcdd6bd762dd7e5c9fe8d55fee1fb76c0e0eccf84ff3707551ec233da615158dc,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,2663,0xfc2be879660d1d8c48e4fcd31e8f147d692caf04d30c9f67f8beced100bd4174,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,2674,0x83374560a4df490f8d483b405893c8e14fe335217796c376bedde06a67cd7f25,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,2843,0x5b5a1d5e9ff7cc0600743f30fbefe4360da79166cf483efb0ed059516f50d491,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,3015,0x1896ae166193a68844886f3bda0e1615d0659eb80dd92085751feff1232ee5fc,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,3126,0x0632d5862b5be914ed5e886d97bb7a81cef43f9fd3dd177aadcdebcfc282ce9a,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,3134,0xc34a16cc24a3c9acae6e67c7a6c0aa82722a1cdcd02c360984170f026cff8fb9,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,3192,0x55c6fa8c6fa911808f6247492832c015bf7aaf95623e77bd17ce7fc435901533,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,3208,0xaee29f0f3515eb232a1f3b7daef5130b67aab3a7ae0f58de4a64dd4a2184b956,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,3905,0x5fd8f0d853d1b009bd419a7820f0b342925dd0dd82900c441898eedbf8962b2a,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,3915,0xece05d90692bac2f210cebd9c04e96633d7b3405635cd2676dd629ee94f296d3,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
