function_name,arguments,payable,override,virtual,visibility,state-changing,modifiers,returns,path,contract_id,protocol
add,"""uint a, uint b""",False,False,False,public,pure,,uint,protocols/lido-dao/gasprofile/test-contracts/Baz.sol,Baz,lido-dao
foo,"""uint c""",False,False,False,public,state-changing,,,protocols/lido-dao/gasprofile/test-contracts/FooBase.sol,FooBase,lido-dao
callBar,"""uint i""",False,False,False,public,state-changing,,,protocols/lido-dao/gasprofile/test-contracts/FooBase.sol,FooBase,lido-dao
bar,"""uint i""",False,False,False,public,state-changing,,uint,protocols/lido-dao/gasprofile/test-contracts/Bar.sol,Bar,lido-dao
callBar,"""uint i""",False,False,False,public,state-changing,,,protocols/lido-dao/gasprofile/test-contracts/Foo.sol,Foo,lido-dao
invariant_allocated_output,"""""",False,False,False,external,view,,,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
invariant_buckets_output,"""""",False,False,False,external,view,,,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
invariant_allocated_bucket_values_not_exceed_capacities,"""""",False,False,False,external,view,,,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
invariant_allocated_matches_bucket_changes,"""""",False,False,False,external,view,,,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
invariant_allocated_less_then_allocation_size_only_when_all_buckets_filled,"""""",False,False,False,external,view,,,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
_assertAllocated,"""uint256 _expected, uint256 _actual""",False,False,False,internal,view,,,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
_assertBucketsAllocation,"""uint256[] memory _expected, uint256[] memory _actual""",False,False,False,internal,view,,,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
getInput,"""""",False,False,False,external,view,"uint256, memory, buckets, uint256, memory, capacities, uint256, allocationSize, ",,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
getExpectedOutput,"""""",False,False,False,external,view,"uint256, memory, buckets, uint256, memory, capacities, uint256, allocated, ",,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
getActualOutput,"""""",False,False,False,external,view,"uint256, memory, buckets, uint256, memory, capacities, uint256, allocated, ",,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
_fillExpectedAllocateOutput,"""""",False,False,False,internal,state-changing,,,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
_fillActualAllocateOutput,"""""",False,False,False,internal,state-changing,,,protocols/lido-dao/test/common/lib/min-first-allocation-strategy.helpers.sol,MinFirstAllocationStrategyFuzzTesting,lido-dao
hasCode,"""address addr""",False,False,False,public,view,,bool,protocols/lido-dao/test/common/lib/signature-utils.test.sol,ExposedSignatureUtils,lido-dao
ethMessageHash,"""string memory message""",False,False,False,internal,pure,,bytes32,protocols/lido-dao/test/common/lib/signature-utils.test.sol,ExposedSignatureUtils,lido-dao
setUp,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/signature-utils.test.sol,ExposedSignatureUtils,lido-dao
testHasCodeFalse,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/signature-utils.test.sol,ExposedSignatureUtils,lido-dao
testEoaIsValidSignature,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/signature-utils.test.sol,ExposedSignatureUtils,lido-dao
testEoaIsValidSignatureFuzz,"""uint256 eoa_num""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/signature-utils.test.sol,ExposedSignatureUtils,lido-dao
testIsValidSignatureFuzzMessage,"""bytes memory data""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/signature-utils.test.sol,ExposedSignatureUtils,lido-dao
testIsValidSignatureFuzzV,"""uint8 _v""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/signature-utils.test.sol,ExposedSignatureUtils,lido-dao
testIsValidSignatureFuzzR,"""bytes32 _r""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/signature-utils.test.sol,ExposedSignatureUtils,lido-dao
testIsValidSignatureFuzzS,"""bytes32 _s""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/signature-utils.test.sol,ExposedSignatureUtils,lido-dao
testIsValidSignatureWrongSigner,"""uint256 rogueSigner""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/signature-utils.test.sol,ExposedSignatureUtils,lido-dao
testMaxUint256_a_b,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxUint256_b_a,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxUint256_a_b_equal,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxUint256Fuzz,"""uint256 a, uint256 b""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMinUint256_a_b,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMinUint256_b_a,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMinUint256_a_b_equal,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testUint256MinFuzz,"""uint256 a, uint256 b""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxInt256_a_b,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxInt256_b_a,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxInt256_a_b_equal,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxInt256_a_b_negative,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxInt256_a_b_positive_negative,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxInt256_b_a_negative,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxInt256_b_a_postive_negative,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxInt256_a_b_equal_negative,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMaxInt256Fuzz,"""int256 a, int256 b""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMinInt256_a_b,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMinInt256_b_a,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testMinInt256_b_a_equal,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testInt256MinFuzz,"""int256 a, int256 b""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testCeilDivZeroFromFour,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testCeilDivByOne,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testCeilDivByTwo,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testCeilDivByThree,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testCeilDivFuzz,"""uint256 a, uint256 b""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testAbsDiffZeros,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testAbsDiffOnes,"""""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
testAbsDiffFuzz,"""uint256 a, uint256 b""",False,False,False,public,state-changing,,,protocols/lido-dao/test/common/lib/math-256.test.sol,Math256Test,lido-dao
getDataPtr,"""bytes memory arr""",False,False,False,internal,pure,,uint256 dataPtr,protocols/lido-dao/test/common/lib/mem-utils.test.sol,MemUtilsTest,lido-dao
fill,"""bytes memory arr, bytes1 value""",False,False,False,internal,pure,,bytes memory,protocols/lido-dao/test/common/lib/mem-utils.test.sol,MemUtilsTest,lido-dao
test_unsafeAlloc_allocates_empty_byte_array,"""""",False,False,False,external,pure,,,protocols/lido-dao/test/common/lib/mem-utils.test.sol,MemUtilsTest,lido-dao
