cluster_id,cluster_invariant,tx_count,tx_hashes,sample_original_invariant
0,"ierc20(path[path.length - 1]).balanceof(to).sub(balancebefore) >= amountoutmin,",0,,
0,"ierc20(tokenin).allowance(msg.sender, address(smartvault)) >= amountin,",0,,
0,"value <= _balanceof(from),",0,,
0,"amount <= _getfreedbalance(src),",0,,
0,"amount <= balanceof(sender),",0,,
0,"balance0adjusted.mul(balance1adjusted) >= uint(_reserve0).mul(_reserve1).mul(1000**2),",0,,
0,"balanceof(from) >= lockedamount(from) + amount,",0,,
0,"asset.balanceof(to) - prevbalance != amount,",0,,
0,"balance0before.add(uint256(amount0)) <= balance0(),",0,,
0,"basereserve <= uint112(-1) && quotereserve <= uint112(-1),",0,,
0,"unlockedof(msg.sender) >= amount,",0,,
0,"amount > address(this).balance,",0,,
0,"balanceof(_from) >= _tokens,",0,,
0,"token.allowance(msg.sender, address(this)) >= value,",0,,
0,"_amount <= unlockedtokensinternal(_from),",0,,
0,"super.balanceof(to) + amount <= maxwallet,",0,,
0,"termrepotoken.balanceof(redeemer) == 0,",0,,
0,"balanceof(from) >= locked.add(tokenid),",0,,
0,"token.balanceof(address(this)) - totalstaked >= rewards,",0,,
0,"numberminted(msg.sender) + quantity <= maxfreeperwallet,",0,,
0,"ierc20uniswap(path[path.length - 1]).balanceof(to).sub(balancebefore) >= amountoutmin,",0,,
0,"balanceof(sender) - lockedamount >= amount,",0,,
0,"_selfbalance(pt) < market.totalpt.uint(),",0,,
0,"balanceof(from_) < value_,",0,,
0,"amount <= ierc20(token).balanceof(address(this)).mul(gettokenlimitmaxmultiplier(token)).div(precision),",0,,
0,"_amount + ierc20(_token).balanceof(address(this)) > tokenbalanceallowlist[_token],",0,,
0,"balanceof(to) + amount < _maxwalletsize,",0,,
0,"address(this).balance >= value,",0,,
0,"balanceof(to) + amount <= _maxwalletsize,",0,,
0,"availablebalance(_from) >= _value,",0,,
0,"token.balanceof(address(this)) >= _amount,",0,,
0,"balanceof(from) >= amount,",0,,
0,"amount + balanceof(to) <= maxwallet,",0,,
0,"balance1before.add(uint256(amount1)) <= balance1(),",0,,
0,"amount + balanceof(to) <= maxwalletamount,",0,,
