predicate,message,duplicate_count
b <= a,,4
amountout >= tokeninfo.outputmin,Slippage Limit Exceeded,1
ierc20(path[path.length - 1]).balanceof(to).sub(balancebefore) >= amountoutmin,UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT,2
amountout < minamountout,,1
tradingallowed,tradingAllowed,2
returnamount < desc.minreturnamount,,1
sellcount < casellallowed,CA balance sell,1
!isblacklisted[msg.sender],,2
balance < amountminimum,,2
amounts[amounts.length - 1] >= amountoutmin,UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT,2
returnamount * desc.amount < desc.minreturnamount * spentamount,,2
amountout >= amountoutmin,Too little received,3
amountout < amountoutminimum,,2
returnamount >= desc.minreturnamount,Return amount is not enough,3
signer == owner,ERC20Permit: invalid signature,1
returnamount >= _baserequest.minreturnamount,Min return not reached,1
returnamount >= exactinput.minreturnamount,Too little received,1
frombalance >= amount,ERC20: transfer amount exceeds balance,4
!success,,6
senderbalance >= amount,ERC20: transfer amount exceeds balance,6
!hasclaimed[_msgsender()],Already claimed,1
returndata.length > 0,,5
_isexcludedfromfees[from] || _isexcludedfromfees[to],Trading is not active.,4
totalminted + lotsize <= max_supply,Too much minting,1
expiration == 0 || block.timestamp <= expiration,KS_RFQ: order expired,1
"ierc20(tokenin).allowance(msg.sender, address(smartvault)) >= amountin",SWAPPER_BAD_ALLOWANCE,1
amountout >= params.amountoutminimum,Too little received,1
!((_value != 0) && (allowed[msg.sender][_spender] != 0)),,1
fillstatuses[relayhash] == uint256(fillstatus.filled),,1
_excludedfromfees[from] || _excludedfromfees[to],Trading is not active.,1
amounts[0] <= amountinmax,UniswapV2Router: EXCESSIVE_INPUT_AMOUNT,1
tradingopen,Trading is not open,6
frombalance < value,,2
returnamount < minreturn,,1
newbalance < _minamount,,1
reservein > 0 && reserveout > 0,UniswapV2Library: INSUFFICIENT_LIQUIDITY,1
currentallowance >= amount,ERC20: insufficient allowance,6
value <= _balanceof(from),ERC20: transfer amount exceeds balance,1
!_isblacklisted(_account),Blacklistable: account is blacklisted,1
(from != _dex.pair && to != _dex.pair) || ((from == _dex.pair || to == _dex.pair) && _tradingenabled > 0),Trading disabled,1
value < amountminimum,,1
amountin <= params.amountinmaximum,Too much requested,1
(z = x - y) <= x,ds-math-sub-underflow,3
balanceweth9 >= amountminimum,Insufficient WETH9,1
owner() == _msgsender(),Ownable: caller is not the owner,1
dy >= _min_dy,Exchange resulted in fewer coins than expected,1
block.timestamp > deadline,,3
tx.gasprice > amount,,1
balanceoutfinal < balanceoutinitial + amountoutmin,,1
success || safetxgas != 0 || gasprice != 0,,1
n < 2**96,Lexe::approve: amount exceeds 96 bits,1
order.makertraits.isexpired(),,1
"amount, frombalance",,1
balanceof[src] >= wad,,2
block.timestamp > permit.deadline,,1
allowed.nonce != nonce,,1
currentaccinputhash != expectedfinalaccinputhash,,1
from == _owner || to == _owner,Trading not active yet,1
amount <= _getfreedbalance(src),Ondo::_transferTokens: not enough unlocked balance,1
amount > 0,Transfer amount must be greater than zero,10
quote.deadlinetimestamp < block.timestamp,,1
launch != 0 && amount <= maxtxamount,Launch / Max TxAmount 2% at launch,1
!hasminted[msg.sender],Address has already minted,1
vars.collateralneededinbasecurrency <= vars.usercollateralinbasecurrency,36,1
tradeenabled,Trading not enabled,1
uniswapv2pair != from && uniswapv2pair != to,Trading is not active.,1
roundstatus[_round] == true,Round not ended yet,1
vars.success,Min return not reached,1
order.expiry <= block.timestamp,,1
extcodesize(token),,1
from == address(0) || to == address(0) || allowedfrom[from] || allowedto[to],Eigen._beforeTokenTransfer: from or to must be whitelisted,1
deadline >= block.timestamp,UniswapV2Router: EXPIRED,4
key == uint256(uint160(msg.sender)) * (epoch()**2) + 1,,1
_isexcludedfromtaxes[from] || _isexcludedfromtaxes[to],Trading is not active.,1
tradeactivated,Trading not activated,1
amount <= balanceof(sender),You are trying to transfer more than your balance,1
amountin > amountinmaximum,,1
buyamount < minbuyamount,,1
_isexcludedfromfee[from] || _isexcludedfromfee[to],Trading is not open yet and you are not authorized,5
!_paused,,2
