protocol,statement-type,predicate,message,code_block,placement,pragma_version,contract_id,block_id,path
lido-dao,require,address(this).balance >= amount,"""Address: insufficient balance""",,beginning,0.8.4,,sendValue,protocols/lido-dao/contracts/0.8.4/WithdrawalsManagerProxy.sol
lido-dao,require,"success, ""Address: unable to send value","recipient may have reverted""",,end,0.8.4,,sendValue,protocols/lido-dao/contracts/0.8.4/WithdrawalsManagerProxy.sol
lido-dao,require,address(this).balance >= value,"""Address: insufficient balance for call""",,beginning,0.8.4,,functionCallWithValue,protocols/lido-dao/contracts/0.8.4/WithdrawalsManagerProxy.sol
lido-dao,require,isContract(target),"""Address: call to non-contract""",,beginning,0.8.4,,functionCallWithValue,protocols/lido-dao/contracts/0.8.4/WithdrawalsManagerProxy.sol
lido-dao,require,isContract(target),"""Address: static call to non-contract""",,beginning,0.8.4,,functionCallWithValue,protocols/lido-dao/contracts/0.8.4/WithdrawalsManagerProxy.sol
lido-dao,require,isContract(target),"""Address: delegate call to non-contract""",,beginning,0.8.4,,functionCallWithValue,protocols/lido-dao/contracts/0.8.4/WithdrawalsManagerProxy.sol
lido-dao,assert,"_IMPLEMENTATION_SLOT == bytes32(uint256(keccak256(""eip1967.proxy.implementation"")) - 1)",,,middle,0.8.4,ERC1967Proxy,,protocols/lido-dao/contracts/0.8.4/WithdrawalsManagerProxy.sol
lido-dao,require,Address.isContract(newImplementation),"""ERC1967Proxy: new implementation is not a contract""",,beginning,0.8.4,ERC1967Proxy,_setImplementation,protocols/lido-dao/contracts/0.8.4/WithdrawalsManagerProxy.sol
lido-dao,require,admin != address(0),"""proxy: ossified""",,beginning,0.8.4,WithdrawalsManagerProxy,proxy_upgradeTo,protocols/lido-dao/contracts/0.8.4/WithdrawalsManagerProxy.sol
lido-dao,require,msg.sender == admin,"""proxy: unauthorized""",,middle,0.8.4,WithdrawalsManagerProxy,proxy_upgradeTo,protocols/lido-dao/contracts/0.8.4/WithdrawalsManagerProxy.sol
lido-dao,require,msg.sender == admin,"""proxy: unauthorized""",,middle,0.8.4,WithdrawalsManagerProxy,proxy_upgradeTo,protocols/lido-dao/contracts/0.8.4/WithdrawalsManagerProxy.sol
lido-dao,require,_stETHAmount > 0,"""wstETH: can't wrap zero stETH""",,beginning,0.6.12,WstETH,wrap,protocols/lido-dao/contracts/0.6.12/WstETH.sol
lido-dao,require,_wstETHAmount > 0,"""wstETH: zero amount unwrap not allowed""",,beginning,0.6.12,WstETH,unwrap,protocols/lido-dao/contracts/0.6.12/WstETH.sol
lido-dao,require,uint256(s) <= 0x7FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF5D576E7357A4501DDFE92F46681B20A0,"""ECDSA: invalid signature 's' value""",,middle,>=0.4.24 <0.9.0,,recover,protocols/lido-dao/contracts/common/lib/ECDSA.sol
lido-dao,require,signer != address(0),"""ECDSA: invalid signature""",,middle,>=0.4.24 <0.9.0,,recover,protocols/lido-dao/contracts/common/lib/ECDSA.sol
lido-dao,require,_srcStart + _len <= _src.length && _dstStart + _len <= _dst.length,"""BYTES_ARRAY_OUT_OF_BOUNDS""",,beginning,>=0.4.24 <0.9.0,,copyBytes,protocols/lido-dao/contracts/common/lib/MemUtils.sol
lido-dao,require,currentAllowance >= _subtractedValue,"""ALLOWANCE_BELOW_ZERO""",,beginning,0.4.24,StETH,decreaseAllowance,protocols/lido-dao/contracts/0.4.24/StETH.sol
lido-dao,require,_owner != address(0),"""APPROVE_FROM_ZERO_ADDR""",,beginning,0.4.24,StETH,_approve,protocols/lido-dao/contracts/0.4.24/StETH.sol
lido-dao,require,_spender != address(0),"""APPROVE_TO_ZERO_ADDR""",,beginning,0.4.24,StETH,_approve,protocols/lido-dao/contracts/0.4.24/StETH.sol
lido-dao,require,currentAllowance >= _amount,"""ALLOWANCE_EXCEEDED""",,end,0.4.24,StETH,_spendAllowance,protocols/lido-dao/contracts/0.4.24/StETH.sol
lido-dao,require,_sender != address(0),"""TRANSFER_FROM_ZERO_ADDR""",,beginning,0.4.24,StETH,_transferShares,protocols/lido-dao/contracts/0.4.24/StETH.sol
lido-dao,require,_recipient != address(0),"""TRANSFER_TO_ZERO_ADDR""",,beginning,0.4.24,StETH,_transferShares,protocols/lido-dao/contracts/0.4.24/StETH.sol
lido-dao,require,_recipient != address(this),"""TRANSFER_TO_STETH_CONTRACT""",,middle,0.4.24,StETH,_transferShares,protocols/lido-dao/contracts/0.4.24/StETH.sol
lido-dao,require,_sharesAmount <= currentSenderShares,"""BALANCE_EXCEEDED""",,middle,0.4.24,StETH,_transferShares,protocols/lido-dao/contracts/0.4.24/StETH.sol
lido-dao,require,_recipient != address(0),"""MINT_TO_ZERO_ADDR""",,beginning,0.4.24,StETH,_transferShares,protocols/lido-dao/contracts/0.4.24/StETH.sol
lido-dao,require,_account != address(0),"""BURN_FROM_ZERO_ADDR""",,beginning,0.4.24,StETH,_burnShares,protocols/lido-dao/contracts/0.4.24/StETH.sol
